config,depth,hidden,dataset,method,seed,n_parameters,median_std_epi_in_range,gap_ratio,rmse_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation
2x50,2,50,sin_homo,ensemble,0,13505,0.0136285867862031,,0.1032059363928226,0.564186861686454,-11.902718437029094,0.1475
3x20,3,20,sin_homo,ensemble,0,4505,0.0134592696042395,,0.1031438904336058,0.6522398198624381,-18.335465107233446,0.135
3x50,3,50,sin_homo,ensemble,0,26255,0.0192995448100143,,0.1033405615891187,0.76175023749772,-21.53031546391701,0.1075
1x20,1,20,sin_homo,bbb,0,122,0.0852404629697325,,0.1112305255570428,0.7542753009815223,-15.01472613487514,0.11
1x50,1,50,sin_homo,bbb,0,151,0.0895273262257364,,0.116349583385292,0.7253672787252909,-11.505496347000545,0.1075
2x20,2,20,sin_homo,bbb,0,962,0.0755693316872123,,0.1111759846749185,0.9337692448179592,-25.37552892846056,0.0475
2x50,2,50,sin_homo,bbb,0,2701,0.0927918756904617,,0.1096090229530304,0.9607589414873772,-20.82715256690088,0.055
3x20,3,20,sin_homo,bbb,0,1802,0.0841813170179081,,0.1078460502934764,0.9783931489275878,-28.015998708411534,0.045
3x50,3,50,sin_homo,bbb,0,5251,0.0998228823750469,,0.1059941693372151,0.9526802116029794,-19.86798408268093,0.095
1x20,1,20,sin_homo,gp,0,3,0.0136308375675539,,0.10282020235619,0.343526335847485,-0.4843188128742173,0.8775
1x50,1,50,sin_homo,gp,0,3,0.0136308375675539,,0.10282020235619,0.343526335847485,-0.4843188128742177,0.8775
2x20,2,20,sin_homo,gp,0,3,0.0136308375675539,,0.10282020235619,0.343526335847485,-0.4843188128742173,0.8775
2x50,2,50,sin_homo,gp,0,3,0.0136308375675539,,0.10282020235619,0.343526335847485,-0.4843188128742177,0.8775
3x20,3,20,sin_homo,gp,0,3,0.0136308375675539,,0.10282020235619,0.343526335847485,-0.4843188128742173,0.8775
3x50,3,50,sin_homo,gp,0,3,0.0136308375675539,,0.10282020235619,0.343526335847485,-0.4843188128742177,0.8775
1x20,1,20,sin_gap,mcd,0,61,0.1387240990668553,0.6695308920238774,0.1662026742431226,1.1186933096106833,-18.24557684558693,0.0425
1x50,1,50,sin_gap,mcd,0,151,0.1262782038296326,0.673744856019114,0.1369629141331863,0.8832310249627371,-12.571116774427132,0.1075
2x20,2,20,sin_gap,mcd,0,481,0.1113205611873106,1.137460588299241,0.1194912223965006,0.9741142551612224,-18.29333607787441,0.0575
2x50,2,50,sin_gap,mcd,0,2701,0.0870048177769945,1.1396530169881325,0.1225891164620282,0.9956728150531629,-24.14847264910884,0.0425
3x20,3,20,sin_gap,mcd,0,901,0.0968248564227965,1.4244546882025633,0.1095998432848389,0.9219831681798312,-18.58979498780916,0.1025
3x50,3,50,sin_gap,mcd,0,5251,0.0678005689825039,1.608837326327229,0.1245679387937338,0.928531742410185,-27.74754953109348,0.045
1x20,1,20,sin_gap,map,0,61,0.0,,0.103726852846995,0.2763090711387937,-2.433688579889775,0.4625
1x50,1,50,sin_gap,map,0,151,0.0,,0.1030462528406871,0.2254319331393731,-1.1573312641583673,0.5525
2x20,2,20,sin_gap,map,0,481,0.0,,0.1117001294125833,0.5463860455762396,-13.543238980232656,0.1325
2x50,2,50,sin_gap,map,0,2701,0.0,,0.1061296553581959,0.7371511256311094,-25.7859425411712,0.1075
3x20,3,20,sin_gap,map,0,901,0.0,,0.1151044762505993,0.6905501047365918,-22.45932579779652,0.085
3x50,3,50,sin_gap,map,0,5251,0.0,,0.1071962886259929,0.7908538439727648,-29.888843566535524,0.0825
1x20,1,20,sin_gap,laplace,0,61,0.0161063067493773,5.580308447746472,0.103726852846995,0.2763090711387937,-0.3216848225653734,0.97
1x50,1,50,sin_gap,laplace,0,151,0.0164446584978326,7.318266627614439,0.1030462528406871,0.2254319331393731,-0.2480191792682284,0.9675
2x20,2,20,sin_gap,laplace,0,481,0.0187720929894299,6.834348717361699,0.1117001294125833,0.5463860455762396,-0.8446775246270903,0.9225
2x50,2,50,sin_gap,laplace,0,2701,0.019860465823615,8.053335318326972,0.1061296553581959,0.7371511256311094,-1.819298566727229,0.6
3x20,3,20,sin_gap,laplace,0,901,0.0192341166211202,8.995707462566335,0.1151044762505993,0.6905501047365918,-1.637161899471643,0.51
3x50,3,50,sin_gap,laplace,0,5251,0.0207833230506389,8.85671470909358,0.1071962886259929,0.7908538439727648,-3.2907801123041067,0.1725
1x20,1,20,sin_gap,ensemble,0,305,0.0159398572055763,1.045554999695955,0.1045073538295738,0.2797681965273699,-0.9273500109108151,0.6125
1x50,1,50,sin_gap,ensemble,0,755,0.0195859623959015,1.4141974357193288,0.1034902845871708,0.222688206158952,-0.7713330933235077,0.63
2x20,2,20,sin_gap,ensemble,0,2405,0.0187738124718456,2.232302787682984,0.1044831808127305,0.5182942770046324,-4.101835115311696,0.1775
2x50,2,50,sin_gap,ensemble,0,13505,0.0146772853017791,1.3219236022446006,0.1045125915868014,0.6370782119247593,-14.109733240843957,0.14
3x20,3,20,sin_gap,ensemble,0,4505,0.0154484634490167,1.7825356688731984,0.1063464675374664,0.7075593917350437,-18.20482593169071,0.115
3x50,3,50,sin_gap,ensemble,0,26255,0.0230109020920912,1.9752867362722493,0.1066980605437179,0.7915058450681146,-28.70988899007857,0.0825
1x20,1,20,sin_gap,bbb,0,122,0.073709001565715,1.175613023710263,0.1054033637233258,0.6528597471877573,-13.60310970692982,0.14
1x50,1,50,sin_gap,bbb,0,302,0.0808532518770831,1.2223859215528168,0.1098462923052171,0.6786068763752455,-12.54507403791024,0.125
2x20,2,20,sin_gap,bbb,0,962,0.0839957959599807,1.332717042370812,0.1054061248966256,0.9031431654035352,-23.554250760916013,0.0775
2x50,2,50,sin_gap,bbb,0,5402,0.081646577074433,1.681981771318268,0.106047769063634,0.8939547808797336,-20.23391804629109,0.095
3x20,3,20,sin_gap,bbb,0,1802,0.0710476733078148,2.313337208778112,0.1101580968097845,0.9667199596885452,-31.00262313757014,0.045
3x50,3,50,sin_gap,bbb,0,10502,0.0884174848140494,1.475987020976793,0.1155179973356314,1.001996354551437,-26.482014719123,0.0425
1x20,1,20,sin_gap,gp,0,3,0.0136040462438675,3.2662294747971683,0.1037303745875305,0.4660760948342849,-0.8801430588179824,0.765
1x50,1,50,sin_gap,gp,0,3,0.0136040462438675,3.2662294747971683,0.1037303745875305,0.4660760948342849,-0.8801430588179824,0.765
2x20,2,20,sin_gap,gp,0,3,0.0136040462438675,3.2662294747971683,0.1037303745875305,0.4660760948342849,-0.8801430588179824,0.765
2x50,2,50,sin_gap,gp,0,3,0.0136040462438675,3.2662294747971683,0.1037303745875305,0.4660760948342849,-0.8801430588179824,0.765
3x20,3,20,sin_gap,gp,0,3,0.0136040462438675,3.2662294747971683,0.1037303745875305,0.4660760948342849,-0.8801430588179824,0.765
3x50,3,50,sin_gap,gp,0,3,0.0136040462438675,3.2662294747971683,0.1037303745875305,0.4660760948342849,-0.8801430588179824,0.765
