dataset,method,n,rmse_mean,rmse_sem,mae_mean,mae_sem,ll_mean,ll_sem,nll_mean,nll_sem,crps_mean,crps_sem,picp95_mean,picp95_sem,mpiw95_mean,mpiw95_sem,interval_score95_mean,interval_score95_sem,ece_reg_mean,ece_reg_sem,mean_var_aleatoric_mean,mean_var_aleatoric_sem,mean_var_epistemic_mean,mean_var_epistemic_sem,epi_ratio_mean,epi_ratio_sem,config_id,n_train,n_test
energy,bbb,20,0.5400600165765714,0.015015443317565474,0.41119812737845474,0.01064315691182692,-0.9317211038002033,0.014292747029559443,0.9317211038002033,0.014292747029559443,0.3150390982665352,0.00565043856251034,0.9902597402597403,0.002080270375055804,3.1495089614845577,0.040874629282193924,3.378075114955673,0.07797744821494446,0.09814764183185229,0.004665403902294662,0.43854652625790924,0.009318969546454692,0.21164093661354882,0.00849698003424127,0.32358988970622427,0.005712235591856346,"epochs=1000,K=32",691,77
energy,gp,20,0.4661581957267476,0.014984731621219728,0.33303624617270017,0.007868746303842883,-0.6654780044768723,0.03698451418616978,0.6654780044768723,0.03698451418616978,0.2486660252019795,0.005820621646397539,0.9233766233766234,0.005951397006436155,1.711803249975644,0.01016376525932742,2.615681951646504,0.1349033380042887,0.0455297334244702,0.003271509708186612,0.1481493459330276,0.001451100148570504,0.04433921459680383,0.0013029368642189893,0.22968036466314898,0.00435542255432662,epochs=1000,691,77
concrete,mcd,20,5.660462418578285,0.09803081837473891,4.242894301923143,0.0728718634959948,-3.1676566766386474,0.0133869389465118,3.1676566766386474,0.0133869389465118,3.1195711908596495,0.046615794593291515,0.9606796116504854,0.0038882826902625453,24.839380343213744,0.07218545216696838,30.633473309542616,0.5869169980496147,0.04718446601941739,0.0032135548168041868,32.26269898334847,0.24126526804232895,7.942550215343779,0.10342011973717978,0.19763602904932095,0.002692934444180504,epochs=1000,927,103
concrete,map,20,5.103178133427432,0.12480040179659117,3.5427171857272564,0.06525521059992376,-3.465357221773323,0.07013771273279534,3.465357221773323,0.07013771273279534,2.6960026604601586,0.058789609724723094,0.8257281553398059,0.007666538721325959,11.910431848050406,0.12481900805823536,38.66015705824303,1.7078665381520564,0.06165559529892691,0.004791189149168836,9.251329335612095,0.1964882537389702,0.0,0.0,0.0,0.0,epochs=1000,927,103
concrete,laplace,20,5.103178133427432,0.12480040179659117,3.5427171857272564,0.06525521059992376,-3.059629318278028,0.04142682702458237,3.059629318278028,0.04142682702458237,2.6310901744243718,0.05505770485294126,0.8883495145631068,0.006240520342129031,14.532678913061284,0.1373542646645539,30.969875993883534,1.2573507034275613,0.04907511497189569,0.004898129804548633,9.251329335612095,0.1964882537389702,4.860228567302121,0.15047252361980504,0.34395311130630296,0.007319554847487961,epochs=1000,927,103
concrete,ensemble,20,4.597309057822011,0.13875867576182688,3.125497700102513,0.07189712919041273,-2.9169547502051167,0.046362264570902686,2.9169547502051167,0.046362264570902686,2.329512248652194,0.058467997299209554,0.9145631067961165,0.007029357706292348,15.013120349635908,0.1216047481732102,26.94447966373653,1.3442887729508384,0.03678589678078687,0.003619205181473766,9.45394806747436,0.12000768335278592,5.921322800462099,0.26972172743853606,0.382019599884155,0.010800862327577408,epochs=1000,927,103
concrete,bbb,20,5.3985799753583805,0.11962018315267767,4.0174121334516695,0.0939545064992042,-3.1198495296856663,0.02747965446154345,3.1198495296856663,0.02747965446154345,2.9403724337459147,0.06679655873933037,0.916990291262136,0.005567229275110558,18.948309198292016,0.18631886300177905,30.420787008649484,0.9320670025467539,0.03784874808380168,0.0036820934601188016,19.78153605970907,0.45966387272803216,3.645844530364127,0.10158936098527575,0.15670267142520694,0.005473839405637867,"epochs=1000,K=32",927,103
concrete,gp,20,5.405947357184756,0.10414222171818284,3.9538975440807995,0.06993830905565239,-3.065300598773853,0.019615868291384845,3.065300598773853,0.019615868291384845,2.880654176370798,0.04887548079701377,0.9373786407766991,0.005431917936736235,19.875134945871107,0.08922839819097557,28.48968543921643,0.848848271036376,0.03753960143076131,0.003930489896189775,19.199665852518226,0.17586512488865835,7.257381732949206,0.25107653809039293,0.27343293586302775,0.007539620482658913,epochs=1000,927,103
wine_quality_red,mcd,20,0.6332930201572837,0.00826165240258144,0.4907347581027307,0.005917390112396966,-0.9639401959175629,0.013306536777359556,0.9639401959175629,0.013306536777359556,0.3519765629239831,0.004385018305334323,0.9421875,0.0040269190831989125,2.4731786847679116,0.004485137139295591,3.240001416501169,0.05635721894180385,0.0343256578947368,0.0028035559051816064,0.38804123730159007,0.0015407290484994209,0.01006221303752633,0.00025975147798271755,0.025294626848502984,0.0006853170489543609,epochs=20,1439,160
wine_quality_red,map,20,0.6364257053862662,0.008388732737415007,0.49165316020971944,0.005785399209433109,-0.9721071161423807,0.014652441118919621,0.9721071161423807,0.014652441118919621,0.353075888578764,0.004449404503084994,0.9328125,0.0040013104350160615,2.376804605489179,0.00588554233686637,3.294113312768507,0.06433690231892351,0.0321710526315789,0.0034000292926450156,0.36768962970537994,0.0018238512799541623,0.0,0.0,0.0,0.0,epochs=20,1439,160
wine_quality_red,laplace,20,0.6364257053862662,0.008388732737415007,0.49165316020971944,0.005785399209433109,-0.9545235137194469,0.012303270148431805,0.9545235137194469,0.012303270148431805,0.352240882835015,0.004264712956374766,0.9487500000000001,0.003644344934278312,2.5331975519251992,0.008001046831769047,3.165436298883697,0.057004953101187174,0.03374999999999995,0.0031811635509865054,0.36768962970537994,0.0018238512799541623,0.05270836851543713,0.002320331210743897,0.12490785452347483,0.004741684629525833,epochs=20,1439,160
wine_quality_red,ensemble,20,0.6276662550537446,0.008367670594067709,0.4856540160806356,0.005770529207414494,-0.9549039089064086,0.014536915095843381,0.9549039089064086,0.014536915095843381,0.3480708114854481,0.004416692825719397,0.9353125,0.0042841843094536,2.401211106266515,0.005606442086346162,3.246738497265555,0.07085365601622247,0.033519736842105206,0.0027458421463065373,0.36504732306040616,0.0015767389340107252,0.010280598045682671,0.0006437932098279563,0.027335940722884304,0.0016436936461611997,epochs=20,1439,160
wine_quality_red,bbb,20,0.6327238808862768,0.00784224271491237,0.4885765905927637,0.00531831101955593,-0.9619372573255633,0.012007738772896221,0.9619372573255633,0.012007738772896221,0.3515574141809429,0.004112056673162283,0.9471875000000001,0.004042206398217375,2.528821374504889,0.00494276179736929,3.2293220845190156,0.054475322218093376,0.0360526315789473,0.0024333915295137003,0.39976032340022255,0.0017385662442137913,0.01648001030518535,0.0004864281423089377,0.03961266850176566,0.0011909104003675775,"epochs=20,K=32",1439,160
wine_quality_red,gp,20,0.6518845045613249,0.014839195488768492,0.43215716607812577,0.009608350980135091,0.4242471159887856,0.055861324397161224,-0.4242471159887856,0.055861324397161224,0.3069922268471822,0.007437883760084432,0.9487500000000001,0.005904948861136022,2.0690633635060576,0.024953475997591713,2.9281006808116095,0.1044955624046258,0.07034539473684204,0.002936602610364799,6.490939629240249e-06,2.1742861869348878e-08,0.3971768891526962,0.005300345121424785,0.9999836036147691,2.20498196342358e-07,epochs=20,1439,160
kin8nm,mcd,20,0.09303561086656789,0.000744287342282592,0.07191054727338722,0.000665875628622815,0.8852993859120794,0.004344653883445414,-0.8852993859120794,0.004344653883445414,0.05327471835461027,0.00034936559961864144,0.9853479853479854,0.0007823239017304021,0.4893352728164685,0.001137234825686643,0.5163718521740495,0.002228299304524937,0.06399556583767102,0.0023525575373302817,0.011819272573713275,6.443412985205642e-05,0.0037724496307351705,2.582088563341514e-05,0.24198331235513376,0.0015046020588666354,epochs=1000,7373,819
kin8nm,map,20,0.07354447592782401,0.0005225979881158413,0.05729990764368583,0.0004751502889342461,1.1848340006474465,0.008213712069636399,-1.1848340006474465,0.008213712069636399,0.04101834964339302,0.0003055527293196698,0.9302808302808302,0.002228470275428946,0.26932988144940934,0.0012457029194040388,0.36944673351825685,0.004472618112896313,0.049877899877899826,0.006492207831313997,0.004722689489090005,4.3858974988202545e-05,0.0,0.0,0.0,0.0,epochs=1000,7373,819
kin8nm,laplace,20,0.07354447592782401,0.0005225979881158413,0.05729990764368583,0.0004751502889342461,1.191857865599135,0.007592878580264966,-1.191857865599135,0.007592878580264966,0.04098032035980188,0.00030041738974217883,0.9365079365079365,0.0021985161176514036,0.2770027381419487,0.0012314317763228693,0.3647647028823072,0.00410709904343412,0.04949585502217077,0.00641402854544888,0.004722689489090005,4.3858974988202545e-05,0.00027357912776946496,2.5389959457026805e-06,0.054811890155937903,0.0005869896697534967,epochs=1000,7373,819
kin8nm,ensemble,20,0.06743469382569571,0.00042158624367628146,0.05210081269878168,0.00027916702273945006,1.2723589675790612,0.004692641314161914,-1.2723589675790612,0.004692641314161914,0.03762349800302188,0.0001851827608907561,0.9667277167277166,0.001277145651119758,0.29508163435300755,0.001242987325010838,0.33955064874597285,0.0027852655055085594,0.031504723346828536,0.001331469391031022,0.00471713578551956,2.622359191940751e-05,0.00097734716255707,3.0450451063237977e-05,0.1710983417632603,0.0041138896402596265,epochs=1000,7373,819
kin8nm,bbb,20,0.08187799806462548,0.0007133551010624631,0.06372566238339814,0.0005261276003252625,1.0827508047502463,0.008227299697594854,-1.0827508047502463,0.008227299697594854,0.045671582476382214,0.0003711028911652429,0.9548840048840048,0.002115717149104208,0.33386301561650866,0.0020250976148491998,0.40721911198056926,0.005239102211195712,0.027238930659983236,0.003215550854215037,0.006842244906895995,8.046245712482264e-05,0.00041763050967430504,2.1604904996174783e-05,0.05734085334856302,0.0027213816592574856,"epochs=1000,K=32",7373,819
kin8nm,gp,1,0.070872174179343,,0.0544405133320471,,1.224193553059817,,-1.224193553059817,,0.039247854925967,,0.934065934065934,,0.2679274065825313,,0.3694168305433846,,0.0100893258787995,,0.003342261088387,,0.0013850652467035,,0.2929912488635067,,epochs=1000,7373,819
power_plant,mcd,20,4.284299286622071,0.031977148830142556,3.3320855589042453,0.016617825831092465,-2.8775530780604894,0.0064417466189679645,2.8775530780604894,0.0064417466189679645,2.358471970236489,0.01072838729923869,0.9707419017763845,0.00145225972660144,17.77339108124591,0.05013200064981238,21.321826050577776,0.27235616049468864,0.03051779134356262,0.0034078792794737783,19.382302732065092,0.11979905365444428,1.1830119774328018,0.0178696479294258,0.05757082456737569,0.0009566107203469919,epochs=50,8611,957
power_plant,map,20,4.167476624626774,0.03443668540010542,3.2009685050233925,0.01600480994351832,-2.8476678707246412,0.008447902380745534,2.8476678707246412,0.008447902380745534,2.279034809256336,0.011144737664670466,0.9572100313479623,0.0015728424758058499,16.146370215641756,0.044825498492398815,20.635177366324687,0.29382226178964405,0.029088159269647435,0.0035649920722665095,16.969038358351803,0.09448807719398607,0.0,0.0,0.0,0.0,epochs=50,8611,957
power_plant,laplace,20,4.167476624626774,0.03443668540010542,3.2009685050233925,0.01600480994351832,-2.8476307347217396,0.008350041558743703,2.8476307347217396,0.008350041558743703,2.2794219871817467,0.011114431350701318,0.958307210031348,0.0016150700109688898,16.219227539179986,0.04466726462758235,20.641629827248703,0.2921707583855819,0.02913490623109493,0.0035304731514194023,16.969038358351803,0.09448807719398607,0.15399821217614557,0.0020871561175015325,0.0089981921837319,0.0001287685057615246,epochs=50,8611,957
power_plant,ensemble,20,4.108870818336269,0.03464346317910937,3.158620132171911,0.01600283977625022,-2.83298374228363,0.008000236914285473,2.83298374228363,0.008000236914285473,2.2489169877005497,0.0113101524783654,0.9618077324973877,0.0016249582418439434,16.389367542083896,0.03645563695917467,20.38822589853203,0.2513128828684606,0.019095858769179956,0.0016950268288974792,16.90205044430748,0.05291570249250396,0.5833760699394606,0.04318072649330095,0.03321656289336821,0.002350664181067107,epochs=50,8611,957
power_plant,bbb,20,4.264613525368437,0.03178216282008103,3.318829470678999,0.013961500845241925,-2.8736353818387026,0.006386603648803912,2.8736353818387026,0.006386603648803912,2.3503368761496053,0.009956424203970598,0.9721525600835946,0.001462659370818988,17.846203549577684,0.05601504407416854,21.192195758280867,0.25195770336621903,0.028219490733102294,0.0024543228362677153,19.303045289750536,0.0988888617048717,1.4306272237287092,0.04670302009353626,0.06884526171023878,0.0019332413810663523,"epochs=50,K=32",8611,957
