dataset,method,activation,n,n_parameters_mean,n_parameters_sem,mean_std_epi_in_range_mean,mean_std_epi_in_range_sem,mean_std_epi_extrapolation_mean,mean_std_epi_extrapolation_sem,epi_extrap_ratio_mean,epi_extrap_ratio_sem,std_epi_at_edge_mean,std_epi_at_edge_sem,mpiw95_in_range_mean,mpiw95_in_range_sem,mpiw95_extrapolation_mean,mpiw95_extrapolation_sem,picp95_in_range_mean,picp95_in_range_sem,picp95_extrapolation_mean,picp95_extrapolation_sem,rmse_in_range_mean,rmse_in_range_sem,ll_in_range_mean,ll_in_range_sem
sin_gap,mcd,relu,3,152.0,0.0,0.10518686453507749,0.006080938990007108,0.45738050564733485,0.014969028884453263,4.360445623173805,0.10534718246658775,0.8250446419831721,0.038767533987426876,0.8892109163371139,0.03152559814320115,1.9668931898073296,0.06386181241707063,0.995,0.003469443332443617,0.9958333333333332,0.0022047927592204804,0.14722748813282496,0.005627947968704613,0.3429131730793418,0.0016719497920695862
sin_gap,mcd,tanh,3,152.0,0.0,0.12301916128525203,0.0007997061298426324,0.163529948379896,0.002139871146584503,1.3291904647510837,0.008832811027842865,0.16828678227252222,0.003932396218044749,0.9583406870251084,0.004871676468159212,1.043369829475721,0.006247379995044129,0.9855555555555556,0.00709285851933535,0.41583333333333333,0.049630579731093666,0.1882770963542086,0.011836524414186237,0.1769931058223245,0.04302885038498076
sin_gap,map,relu,3,152.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.3887851903270058,0.01440304352179412,0.3887851903270057,0.014403043521794086,0.9233333333333333,0.009765775461803853,0.4833333333333334,0.04744148442496761,0.10971096798904206,0.001540268889562271,0.7783135723923426,0.012449149078311959
sin_gap,map,tanh,3,152.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.41070626351059447,0.02449260562359502,0.4107062635105944,0.02449260562359498,0.9461111111111111,0.014021588293471093,0.5608333333333334,0.0030046260628866298,0.1064964435788421,0.0018586480967730749,0.8142324784910063,0.019830631003970783
sin_gap,laplace,relu,3,152.0,0.0,0.06659770788135629,0.03571081853599572,0.2376477304978759,0.03058116356502341,6.142835120941808,2.400720380030886,0.1472072053729563,0.025649420512839763,0.527158951572589,0.12694464751917484,1.0608284610880323,0.10978166717419144,0.9472222222222223,0.01876593972672725,0.7891666666666666,0.08063980268935299,0.10971096798904206,0.001540268889562271,0.7258110724201003,0.07222530079309318
sin_gap,laplace,tanh,3,152.0,0.0,0.041017656420246566,0.0006489490918884283,0.3200263798454146,0.012760185418970648,7.815592725824753,0.4349082397401192,0.493806033195624,0.017490620221575538,0.4602040965015283,0.02190022795001269,1.3664864627566564,0.0488521879716439,0.9611111111111112,0.00894082052190616,0.96,0.006614378277661497,0.1064964435788421,0.0018586480967730749,0.7975494442338603,0.01695411792431768
sin_gap,ensemble,relu,3,760.0,0.0,0.015962630827179098,0.0007031885683488858,0.0698861699801201,0.011006410594616833,4.346672073384269,0.5634472015553258,0.12151674555658476,0.03387073167304263,0.3942397979060135,0.012926935535809168,0.4955269505508773,0.018969319210580305,0.9322222222222223,0.009246287209496261,0.5525000000000001,0.0074999999999999884,0.10731210907517073,0.0010907009420142993,0.8059351373539069,0.012764238825812131
sin_gap,ensemble,tanh,3,760.0,0.0,0.0356996947502467,0.0034752913570292934,0.04425238592830516,0.00284391042093673,1.2502175599508663,0.06365019270240721,0.04848837333278177,0.004345864120772174,0.43958188029904477,0.017895044832501008,0.45153350237046525,0.015666190154526614,0.9583333333333334,0.012945755775256775,0.5833333333333334,0.018162078931419474,0.10508100823201406,0.0034838258708220393,0.8208487194689494,0.030183980386147075
sin_gap,bbb,relu,3,303.0,0.0,0.07058381556818637,0.00877860665761097,1.1028591852715302,0.15377370608427987,16.102732849302352,2.7416650275363574,0.1291287079109457,0.028938762933867882,0.5664728420445301,0.03428227366869604,4.4789386851361,0.5982997183401516,0.9844444444444446,0.004006168083848846,0.8516666666666667,0.010833333333333363,0.11410836029424193,0.002612330987395738,0.7028387733843874,0.03452006194515146
sin_gap,bbb,tanh,3,303.0,0.0,0.14507676210558887,0.006243042392459607,0.14655368759977108,0.005725006304622231,1.0107534837390875,0.017449095758411345,0.18002878560818203,0.009012038715072212,0.9009469775739231,0.050804303151029635,0.9040200870054766,0.04613275613761287,0.9766666666666667,0.015122952876462445,0.4216666666666667,0.12079884565305711,0.16839741789202853,0.02250209121660616,0.2698863285091008,0.04441123788204565
