dataset,method,variant,dimension,n,gap_leak_fraction_mean,gap_leak_fraction_sem,epi_gap_ratio_mean,epi_gap_ratio_sem,mean_std_epi_gap_in_mean,mean_std_epi_gap_in_sem,mean_std_epi_gap_out_mean,mean_std_epi_gap_out_sem,rmse_gap_in_mean,rmse_gap_in_sem,rmse_gap_out_mean,rmse_gap_out_sem,ll_gap_in_mean,ll_gap_in_sem,ll_gap_out_mean,ll_gap_out_sem,picp95_gap_in_mean,picp95_gap_in_sem,picp95_gap_out_mean,picp95_gap_out_sem,feature_n_distinct,n_train_full,n_removed
energy,map,gap,3,20,0.6270189023635011,0.0012869442322245407,,,0.0,0.0,0.0,0.0,0.618339183458559,0.023596548517927356,0.5467929631278905,0.019759072665887497,-1.1977458314631304,0.0901219868369401,-0.9456853631969457,0.06793041992729487,0.8197563183942493,0.012989924142546669,0.8786546889631184,0.011355647125450523,4,691,varies
energy,map,gap,4,20,1.0,0.0,,,0.0,0.0,0.0,0.0,0.5132528977565687,0.024427188243152126,0.5825315742462882,0.021145166396250005,-0.8443573952630675,0.08545545636590404,-1.091655112673822,0.07791975599880752,0.8840646122614464,0.014172863845747676,0.8568198111448577,0.01435781989342886,2,691,varies
energy,map,gap,5,20,0.24959056677869254,0.0013250570565973853,,,0.0,0.0,0.0,0.0,0.5416942888035698,0.021670289665001577,0.5950815718912917,0.02164980373514894,-0.9008668513894985,0.06989018644570147,-1.0697969627621822,0.07530042848095632,0.8774067531742151,0.01760038456678131,0.8699562848525975,0.013077998380657707,4,691,varies
energy,map,gap,6,20,0.4385865088557077,0.001422983462656437,,,0.0,0.0,0.0,0.0,0.6477994636109596,0.030911517199847267,0.559651451957239,0.019941719593430225,-1.2734204289829227,0.11695792246442503,-0.9643976924612389,0.06747822472120917,0.8203060584421034,0.019594995403433752,0.8843966627884609,0.012006939191149691,4,691,varies
energy,map,gap,7,20,0.34386264900974556,0.001274196316371701,,,0.0,0.0,0.0,0.0,0.6093534170960835,0.025293954153210545,0.5366032590696895,0.02244049330096341,-1.2589598327771034,0.10399199252899254,-0.9566003302689566,0.08399704715771526,0.7978259696846653,0.02654436492144628,0.8649039280581722,0.012316614127566534,6,691,varies
energy,laplace,control,0,5,0.0,0.0,1.140287522459055,0.06240567943444187,0.2850266393274123,0.01974971698122893,0.24936131917974338,0.005168414747554981,0.6224350051325275,0.04155799147432519,0.5207584910343867,0.024770824151862703,-1.0102254006149765,0.07867286298321205,-0.755741416969687,0.047571811881626534,0.9090763956753067,0.023860070191660112,0.9195697716752484,0.011145210320086025,12,691,varies
energy,laplace,control,1,5,0.0,0.0,1.140287522459055,0.06240567943444187,0.2850266393274123,0.01974971698122893,0.24936131917974338,0.005168414747554981,0.6224350051325275,0.04155799147432519,0.5207584910343867,0.024770824151862703,-1.0102254006149765,0.07867286298321205,-0.755741416969687,0.047571811881626534,0.9090763956753067,0.023860070191660112,0.9195697716752484,0.011145210320086025,12,691,varies
energy,laplace,control,2,5,0.25338555212702546,0.002571313292433219,0.8920496203919217,0.03110232605440779,0.24058097819972316,0.0045904373554597555,0.2712005429654087,0.011978272494057484,0.6194799632979423,0.02226423436817645,0.5277136913898725,0.029076847796552265,-1.0036145105739682,0.07748712561260428,-0.7664748810885116,0.04860522798632032,0.8728278388278389,0.022195965784359492,0.935231865960725,0.014542049429268452,7,691,varies
energy,laplace,control,3,5,0.6261874241837866,0.0026477719873418577,0.9636016259769711,0.033711252429483744,0.25412053817925534,0.008917860352153117,0.26451904985476726,0.01075296904007829,0.5482488690011114,0.02741960696419858,0.5660405225006612,0.028674622625310123,-0.8269976892624438,0.06052620500989869,-0.8558195853346815,0.053691936767550234,0.9077453580901856,0.020775486792852627,0.9167986425339366,0.014997625801048181,4,691,varies
energy,laplace,control,4,5,1.0,0.0,1.0392538011227064,0.04416828264224004,0.26723240295554024,0.01216250092193838,0.25779772544807866,0.009487658642184342,0.5415762205573674,0.045720870113146184,0.5655905040011849,0.026140264768399153,-0.8164907846563934,0.08839024107144441,-0.8589372713188281,0.040623105762828654,0.8864349571246123,0.023496811546518264,0.9295192529842126,0.010528386513464801,2,691,varies
energy,laplace,control,5,5,0.24847589063851167,0.0030843516391765055,0.7793599254717625,0.021075571512123827,0.22002482426289252,0.006054295596142286,0.28321600615763964,0.011652130693968225,0.4809750154000317,0.028586273512721045,0.596073798027602,0.027638796595986122,-0.6838136704901031,0.05965417767536843,-0.9278693309631267,0.05576746970530762,0.9274778325123153,0.02565092509089838,0.9071381673133695,0.017566887618413275,4,691,varies
energy,laplace,control,6,5,0.43368142180873726,0.002289602734819664,0.8433971914945779,0.031218247345769716,0.23131452792387824,0.009245387481435904,0.27498587293401233,0.010921223030246917,0.5129586287858939,0.03409214936395461,0.5791870845148448,0.030944916335953837,-0.7649769999285799,0.08038882640950663,-0.8828567433915324,0.05486548268909274,0.9101484602354167,0.025423116607895768,0.9146016635092264,0.01659988334233664,4,691,varies
energy,laplace,control,7,5,0.3417257718817179,0.0026920748843153094,0.7890878625609689,0.02179127057860941,0.22134603494274646,0.010827282226826383,0.28010411021646936,0.008204930637188268,0.5138403257721695,0.05816214331715303,0.5736150247640845,0.04793223052472977,-0.7930020266918094,0.1492187887225652,-0.8775743081401913,0.10164330823220477,0.926073926073926,0.044718896350856345,0.907007426799721,0.02444054770241339,6,691,varies
energy,laplace,gap,0,20,0.0,0.0,31.58525351169696,1.206814765737542,6.340493410442955,0.25671373521912044,0.2010272989423695,0.0030632008307985674,15.960383813144967,0.4229706342051332,0.3989369525504555,0.01278379380105952,-6.852840236892547,0.37552188526717273,-0.5078965127796556,0.037517340330571594,0.43166192069367726,0.04344095867232054,0.9399032752425043,0.01055410757222428,12,691,varies
energy,laplace,gap,1,20,0.0,0.0,31.58525351169696,1.206814765737542,6.340493410442955,0.25671373521912044,0.2010272989423695,0.0030632008307985674,15.960383813144967,0.4229706342051332,0.3989369525504555,0.01278379380105952,-6.852840236892547,0.37552188526717273,-0.5078965127796556,0.037517340330571594,0.43166192069367726,0.04344095867232054,0.9399032752425043,0.01055410757222428,12,691,varies
energy,laplace,gap,2,20,0.2504690265667931,0.0011220328146099735,7.7699719848887,0.4912426780416077,1.7728292633444827,0.10862399961912207,0.2288245555951854,0.003172516786918224,4.632138390369218,0.14773200899107636,0.533619670504377,0.024457360617048344,-4.764338744043231,0.39596339699333216,-0.8262460651053118,0.06602370596784377,0.5442525159510698,0.033285182680225824,0.9252207461618236,0.008743587466854346,7,691,varies
energy,laplace,gap,3,20,0.6270189023635011,0.0012869442322245407,1.1694673864385012,0.027416243587081775,0.2946611740850086,0.009230441068045641,0.2515202237492936,0.0038539650997043567,0.618339183458559,0.023596548517927356,0.5467929631278905,0.019759072665887497,-0.9229999543136633,0.05026348417297517,-0.8357425462091221,0.04721847152941645,0.9013446811808882,0.012910396608085068,0.9214923273480986,0.010681406981258284,4,691,varies
energy,laplace,gap,4,20,1.0,0.0,1.00322687196942,0.01876155147644237,0.2686315577061113,0.004542103037487365,0.2686514758112623,0.0044999251259416635,0.5132528977565687,0.024427188243152126,0.5825315742462882,0.021145166396250005,-0.7668109153528766,0.06603392923547914,-0.8966597800037457,0.047559307041307675,0.9330791988977334,0.014322938724273808,0.9092181620454965,0.011784223522256023,2,691,varies
energy,laplace,gap,5,20,0.24959056677869254,0.0013250570565973853,0.8850757854782877,0.015657292047683787,0.24080801950782385,0.0029991052396201056,0.273069418748718,0.0041146476856288765,0.5416942888035698,0.021670289665001577,0.5950815718912917,0.02164980373514894,-0.8292269118339364,0.05228048560006154,-0.917229594427055,0.045454464056550015,0.9262572638856703,0.016376765385455776,0.9265127801315117,0.01090300546925042,4,691,varies
energy,laplace,gap,6,20,0.4385865088557077,0.001422983462656437,2.441758744357646,0.10475438760335574,0.6426551531490065,0.023335560163356403,0.2648511813622488,0.003994048830368335,0.6477994636109596,0.030911517199847267,0.559651451957239,0.019941719593430225,-0.9344265222688595,0.027891353708443718,-0.8301859288885962,0.03652550736160347,0.9871838000708969,0.005389548609073334,0.9402675117975065,0.0067700264007454535,4,691,varies
energy,laplace,gap,7,20,0.34386264900974556,0.001274196316371701,0.8683592178106002,0.011450629210883068,0.22100257500216552,0.0032898269131789847,0.25472057937469994,0.002975546023373956,0.6093534170960835,0.025293954153210545,0.5366032590696895,0.02244049330096341,-1.0813427025191997,0.0768072870743492,-0.8215455771238032,0.05380618082958984,0.8450941911023433,0.019461778923634626,0.9166442493506523,0.00986171059554304,6,691,varies
energy,ensemble,control,0,5,0.0,0.0,0.9929305832677402,0.06719131047206382,0.2289597089031689,0.013811954106169557,0.23304225181622223,0.014790431231362802,0.588057104687266,0.06112047110181271,0.4384535863056733,0.02531313858010649,-0.9099163129199622,0.11648227233620956,-0.6000442396846891,0.043366853621136056,0.930299698553782,0.01653227200477598,0.9492863941332501,0.014289667210824154,12,691,varies
energy,ensemble,control,1,5,0.0,0.0,0.9929305832677402,0.06719131047206382,0.2289597089031689,0.013811954106169557,0.23304225181622223,0.014790431231362802,0.588057104687266,0.06112047110181271,0.4384535863056733,0.02531313858010649,-0.9099163129199622,0.11648227233620956,-0.6000442396846891,0.043366853621136056,0.930299698553782,0.01653227200477598,0.9492863941332501,0.014289667210824154,12,691,varies
energy,ensemble,control,2,5,0.25338555212702546,0.002571313292433219,1.1542138955973738,0.08462538481561863,0.2533289091159211,0.01984693262437126,0.22047406027503547,0.011946300143735558,0.5458527495616828,0.04488130842108408,0.4684627939994974,0.04167940610700527,-0.8603843119012856,0.1110863598564648,-0.6343788656528314,0.06499635935227846,0.907021978021978,0.037097590922649144,0.9577678760106088,0.0067073644795076935,7,691,varies
energy,ensemble,control,3,5,0.6261874241837866,0.0026477719873418577,1.0172753543587085,0.06793705014313155,0.23416376726340818,0.018048290906782026,0.23044016724811134,0.010750575094610049,0.5017734214897901,0.03645495696075651,0.4950410882521469,0.033177487906100096,-0.73000373098396,0.06601618750715456,-0.694567547781147,0.056708853167755535,0.9303342175066313,0.015025567873311798,0.9491515837104073,0.013159541694208217,4,691,varies
