experiment_id,dataset,hessian_structure,prior_precision_mode,seed,status,failure,prior_precision,n_parameters,mpiw95,mpiw95_in_range,mpiw95_extrapolation,picp95_in_range,picp95_extrapolation,rmse_in_range,ll_in_range,mean_std_epi_in_range,mean_std_epi_extrapolation,epi_extrap_ratio,timestamp,git_commit
e6c,sin_homo,kron,fixed,1,ok,,,152,0.5880958530426711,0.3981932141843488,0.8729498113301547,0.9433333333333334,0.9325,0.10322802655306615,0.8523333917963332,0.026103598985569052,0.19252441069622306,7.3753971934160125,2026-08-31T19:41:09.799978+00:00,1806733
e6c,sin_homo,kron,fixed,2,ok,,,152,0.6800631090552645,0.4822203042534918,0.9768273162579234,0.98,0.9325,0.10293858648259185,0.8271837406527005,0.031122311128493573,0.2088449950415267,6.710459071605442,2026-08-31T19:41:09.866250+00:00,1806733
e6c,sin_homo,kron,marglik,0,ok,,,152,0.6527781381064443,0.4065205834462079,1.0221644700967984,0.945,0.9375,0.10602958873777432,0.8252933607948447,0.027131070591895668,0.2323326572051037,8.563342770355103,2026-08-31T19:41:15.222863+00:00,1806733
e6c,sin_homo,kron,marglik,1,ok,,,152,0.6398108119327005,0.39863270411128987,1.0015779736648163,0.945,0.95,0.10322802655306615,0.852405610865409,0.02650849085851278,0.22822940587507148,8.60967178755026,2026-08-31T19:41:15.589034+00:00,1806733
e6c,sin_homo,kron,marglik,2,ok,,,152,0.7419739868767615,0.48279782007123323,1.1307382370850538,0.98,0.9625,0.10293858648259185,0.8269329813747038,0.03167833605034781,0.2521709257516659,7.960358945333469,2026-08-31T19:41:15.812086+00:00,1806733
e6c,sin_homo,kron,unregularised,0,ok,,,152,2.5949581982527303,0.4128166377103786,5.868170539066257,0.9483333333333334,0.9975,0.10602958873777432,0.8253436958261477,0.03237026561102751,1.4869643595873765,45.936118580405335,2026-08-31T19:41:15.547022+00:00,1806733
e6c,sin_homo,kron,unregularised,1,ok,,,152,2.6721676321980983,0.4049657725794191,6.072970421626117,0.9483333333333334,1.0,0.10322802655306615,0.8533169907760952,0.031769556015648716,1.53999417397591,48.4738966203165,2026-08-31T19:41:15.670782+00:00,1806733
e6c,sin_homo,kron,unregularised,2,ok,,,152,3.4147544381637336,0.49056480569928357,7.801038886860408,0.9816666666666667,1.0,0.10293858648259185,0.8234419100982807,0.03822861245807014,1.9786512561165739,51.75838537919198,2026-08-31T19:41:15.785386+00:00,1806733
e6c,sin_homo,diag,fixed,0,ok,,,152,0.4998038550004185,0.49062044049029735,0.5135789767656004,0.9783333333333334,0.7675,0.10602958873777432,0.7992954734073353,0.07524440506402201,0.0845061304240173,1.1230885585727592,2026-08-31T19:41:24.230012+00:00,1806733
e6c,sin_homo,diag,fixed,1,ok,,,152,0.48746698433356894,0.4779558134041755,0.5017337407276591,0.98,0.685,0.10322802655306615,0.8282045661216564,0.0723876137372217,0.08195367117290463,1.13215047356595,2026-08-31T19:41:24.526900+00:00,1806733
e6c,sin_homo,diag,fixed,2,ok,,,152,0.6041283238964934,0.5869429947701984,0.629906317585936,0.9983333333333333,0.6575,0.10293858648259185,0.7438977311072619,0.09096564426706692,0.10800335474821837,1.1872982994671073,2026-08-31T19:41:24.382487+00:00,1806733
e6c,sin_homo,diag,marglik,0,ok,,,152,0.4990012938208896,0.4899419680536412,0.5125902824717622,0.9783333333333334,0.765,0.10602958873777432,0.7996213510527365,0.07495442397983494,0.08410772984447831,1.1221182870687645,2026-08-31T19:41:24.919897+00:00,1806733
e6c,sin_homo,diag,marglik,1,ok,,,152,0.48561170556573524,0.47615294780228073,0.499799842210917,0.9783333333333334,0.685,0.10322802655306615,0.8292719348879655,0.07160702424484161,0.08117537128063593,1.133623022834713,2026-08-31T19:41:24.859854+00:00,1806733
e6c,sin_homo,diag,marglik,2,ok,,,152,0.601799205411431,0.5851645127447352,0.6267512444114746,0.9983333333333333,0.655,0.10293858648259185,0.7454816003472972,0.09022008870992565,0.10680578218941188,1.18383592519857,2026-08-31T19:41:24.943487+00:00,1806733
e6c,sin_homo,diag,unregularised,0,ok,,,152,0.5029993310567195,0.4923150302856313,0.5190257822133517,0.9816666666666667,0.775,0.10602958873777432,0.7983713248193197,0.07595939469442704,0.08664180747967974,1.140633200517545,2026-08-31T19:41:32.864266+00:00,1806733
e6c,sin_homo,diag,unregularised,1,ok,,,152,0.4911717902178099,0.4803785135152727,0.5073617052716157,0.98,0.69,0.10322802655306615,0.8267733359441262,0.07342412238382978,0.0841849864344307,1.1465576121475138,2026-08-31T19:41:32.837326+00:00,1806733
e6c,sin_homo,diag,unregularised,2,ok,,,152,0.6077589199577426,0.5901267372351109,0.6342071940416903,0.9983333333333333,0.66,0.10293858648259185,0.7410485438826491,0.09229534703567642,0.10962046519703997,1.1877138850202988,2026-08-31T19:41:33.063230+00:00,1806733
e6c,sin_gap,full,fixed,0,ok,,,152,0.775882541950097,0.44295231041182537,1.2752778892575047,0.9483333333333334,0.95,0.10927320327488661,0.7898688349593727,0.041798297951336966,0.2990102419411345,7.153646358740556,2026-08-31T19:41:33.422817+00:00,1806733
e6c,sin_gap,full,fixed,1,ok,,,152,0.8373496071484272,0.43396393355600577,1.4424281175370595,0.9566666666666667,0.9575,0.10296775477281135,0.8299918908303089,0.03972936356630382,0.3430727284431338,8.635243498692954,2026-08-31T19:41:33.585879+00:00,1806733
e6c,sin_gap,full,fixed,2,ok,,,152,0.8549189799122143,0.5036960455367538,1.3817533814754048,0.9783333333333334,0.9725,0.10724837268882843,0.7727876069118994,0.04152530774309902,0.31799616915197554,7.657888320040747,2026-08-31T19:41:33.320490+00:00,1806733
e6c,sin_gap,full,marglik,0,ok,,,152,1.066285176162448,0.4685088948570875,1.962949598120489,0.9516666666666667,0.975,0.10927320327488661,0.7742090075916644,0.05071047676447954,0.4800923016838493,9.467319818616513,2026-08-31T19:41:42.008883+00:00,1806733
e6c,sin_gap,full,marglik,1,ok,,,152,1.1866158376606581,0.4549044041367152,2.2841829879465725,0.96,0.9775,0.10296775477281135,0.8114479148614748,0.047259799388956136,0.5633870683522525,11.921063475438855,2026-08-31T19:41:41.603614+00:00,1806733
e6c,sin_gap,full,marglik,2,ok,,,152,1.1971597772619211,0.5279032845197793,2.2010445163751338,0.98,0.985,0.10724837268882843,0.7504332272768676,0.050817998351569846,0.5347421295672131,10.522691702017699,2026-08-31T19:41:42.003993+00:00,1806733
e6c,sin_gap,full,unregularised,0,failed,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 20 is not positive-definite).,2026-08-31T19:41:42.048774+00:00,1806733
e6c,sin_gap,full,unregularised,1,failed,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 25 is not positive-definite).,2026-08-31T19:41:42.035059+00:00,1806733
e6c,sin_gap,full,unregularised,2,failed,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 21 is not positive-definite).,2026-08-31T19:41:42.492757+00:00,1806733
