dataset,dropout_p,split_index,epochs,rmse,ll,picp95,mpiw95,mean_var_aleatoric,mean_var_epistemic,timestamp,git_commit
yacht,0.01,5,2000,0.8587990935563188,-1.675204926950216,1.0,7.603501240407974,2.2908332144778534,1.5291950160301004,2026-08-28T23:45:34.951718+00:00,1806733
yacht,0.01,6,2000,0.556071155220604,-1.6952915922555245,1.0,8.292552211410449,2.6996118602415975,1.8455424270555905,2026-08-28T23:45:46.226413+00:00,1806733
yacht,0.01,7,2000,1.8645128666289068,-2.114003944472547,0.9354838709677419,7.790002419215193,2.313004022967062,1.6989532979694402,2026-08-28T23:45:46.677962+00:00,1806733
yacht,0.01,8,2000,0.5559858464823493,-1.666205413530933,1.0,8.064190552195509,2.6839441545648137,1.6207305267160081,2026-08-28T23:46:02.092564+00:00,1806733
yacht,0.01,9,2000,0.6970944957686283,-1.6574640454175513,1.0,7.724792537526971,2.128129132365852,1.8071988819666138,2026-08-28T23:46:02.791958+00:00,1806733
yacht,0.01,10,2000,0.9171837281907231,-1.7206382828863278,1.0,7.742269105847961,2.684054338693555,1.27128595167519,2026-08-28T23:46:16.252978+00:00,1806733
yacht,0.01,11,2000,1.2259544509837375,-1.8510393097510758,0.967741935483871,7.74723625234244,2.3413281019132386,1.6495696185076452,2026-08-28T23:46:16.822902+00:00,1806733
yacht,0.01,12,2000,0.8390733022939015,-1.6902266182155536,1.0,7.513462698836061,2.397765458977469,1.325521144489398,2026-08-28T23:46:30.466493+00:00,1806733
yacht,0.01,13,2000,1.190168716705177,-1.7766456685587406,0.967741935483871,7.186698270576094,2.0829446102411087,1.3318409127435336,2026-08-28T23:46:30.868929+00:00,1806733
yacht,0.01,14,2000,1.218449346490889,-1.739145907964788,0.967741935483871,6.760329014041232,1.9421857970449694,1.0569862111754789,2026-08-28T23:46:42.288625+00:00,1806733
yacht,0.01,15,2000,1.0407241677469188,-1.6934988245698255,0.9354838709677419,6.627035071500818,1.7882398186454955,1.1011025482533894,2026-08-28T23:46:42.736187+00:00,1806733
yacht,0.01,16,2000,1.0426758407746153,-1.7480545698796863,0.967741935483871,7.635668968519303,2.5004858195560877,1.3298394924833623,2026-08-28T23:46:50.911806+00:00,1806733
yacht,0.01,17,2000,1.0699952752026938,-1.7472559105789627,0.9354838709677419,7.427977789888994,2.2832281663243514,1.3392823766332744,2026-08-28T23:46:51.396397+00:00,1806733
yacht,0.01,18,2000,1.0831575135180824,-1.727731836013503,0.9354838709677419,7.093709366585541,2.1699422701570943,1.1410462984053007,2026-08-28T23:46:59.711171+00:00,1806733
yacht,0.01,19,2000,1.8031893515256758,-2.205935709574732,0.967741935483871,7.024642712490478,2.054784181316596,1.2097240108078227,2026-08-28T23:46:59.922521+00:00,1806733
yacht,0.05,0,2000,1.259569135438959,-2.1229719924629147,1.0,11.595183900361457,5.280217290643898,3.5378365550921793,2026-08-28T23:47:08.495227+00:00,1806733
yacht,0.05,1,2000,1.4458561701779744,-2.1354657103550667,1.0,11.571467423943426,5.154893057757482,3.6129046358450294,2026-08-28T23:47:08.521643+00:00,1806733
yacht,0.05,2,2000,1.2305641702163064,-2.083354746822326,1.0,11.320705047739349,5.019946089194769,3.3771344921811934,2026-08-28T23:47:16.583856+00:00,1806733
yacht,0.05,3,2000,1.9418337208018115,-2.259928493787351,1.0,11.713462850114892,5.730142786709187,3.284757630660607,2026-08-28T23:47:17.127943+00:00,1806733
yacht,0.05,4,2000,1.4412857224603748,-2.1451638273628792,0.967741935483871,11.389622463300563,4.997057798600914,3.502907578057168,2026-08-28T23:47:25.011057+00:00,1806733
yacht,0.05,5,2000,1.1067691219880404,-2.056091589367448,1.0,11.392358803374373,5.398257556843034,3.0922595873333094,2026-08-28T23:47:25.685007+00:00,1806733
yacht,0.05,6,2000,0.4472402998446566,-2.045781071958912,1.0,11.995558861338747,5.47043682879291,3.9501657853172936,2026-08-28T23:47:33.287278+00:00,1806733
yacht,0.05,7,2000,2.0913209029878543,-2.320374725202508,0.9354838709677419,11.583996386642255,5.158801887520737,3.658392755575417,2026-08-28T23:47:34.502701+00:00,1806733
yacht,0.05,8,2000,0.9067018310939688,-2.052216592824569,1.0,11.651735757932196,5.448487293698038,3.4749514081113433,2026-08-28T23:47:43.075142+00:00,1806733
yacht,0.05,9,2000,0.5923738746119168,-2.0552655173733787,1.0,11.924115763294873,5.438556953280843,3.8839047167770517,2026-08-28T23:47:44.635304+00:00,1806733
yacht,0.05,10,2000,1.596075933623218,-2.15432006288059,1.0,11.362386833408959,5.413819465296747,3.1020732788248786,2026-08-28T23:47:55.231128+00:00,1806733
yacht,0.05,11,2000,1.3214721094547863,-2.116100840612457,0.967741935483871,11.227025182240139,4.811896582448682,3.456237709831022,2026-08-28T23:47:56.675821+00:00,1806733
yacht,0.05,12,2000,1.5024964217040067,-2.170316157900111,0.967741935483871,11.620755486471227,5.405243896575923,3.4823843907727214,2026-08-28T23:48:07.159749+00:00,1806733
yacht,0.05,13,2000,1.2171650773063885,-2.116195099337481,0.967741935483871,11.596333318074983,5.384124772691891,3.471323874574127,2026-08-28T23:48:08.441960+00:00,1806733
yacht,0.05,14,2000,1.3916466201618085,-2.0940397544569924,0.967741935483871,10.998503206453693,4.945002694408672,2.998924558868645,2026-08-28T23:48:19.065761+00:00,1806733
yacht,0.05,15,2000,1.2260989002690024,-2.1045240672927794,1.0,11.303395881554241,5.034527289671764,3.3736942543740183,2026-08-28T23:48:20.242387+00:00,1806733
yacht,0.05,16,2000,1.3795139595635877,-2.128016018341967,0.967741935483871,11.404181664102603,4.98655728761432,3.557597865984278,2026-08-28T23:48:30.583839+00:00,1806733
yacht,0.05,17,2000,1.2330944403523993,-2.1154323425609327,1.0,11.60255709048871,5.282851025615216,3.5350577461485466,2026-08-28T23:48:31.927462+00:00,1806733
yacht,0.05,18,2000,1.6650591577613856,-2.176599359506044,0.967741935483871,11.264048987632684,5.093545247075433,3.264553819748495,2026-08-28T23:48:42.249317+00:00,1806733
yacht,0.05,19,2000,2.363095392163414,-2.408689520619304,0.967741935483871,10.445497547427252,4.241315361578825,2.959496060153664,2026-08-28T23:48:43.678967+00:00,1806733
yacht,0.1,0,2000,1.3889381212903749,-2.316863078406825,1.0,14.456731883794589,7.946488643835236,5.790537739774823,2026-08-28T23:48:53.947603+00:00,1806733
yacht,0.1,1,2000,1.6754166917095905,-2.363802775591316,1.0,14.686002078985343,8.241269109541355,5.903257319102938,2026-08-28T23:48:55.457328+00:00,1806733
yacht,0.1,2,2000,1.3646466780082764,-2.3025795685778863,1.0,14.381070738151559,7.913857258586741,5.644354577908568,2026-08-28T23:49:05.842780+00:00,1806733
yacht,0.1,3,2000,2.3666037511668123,-2.46513708930334,0.9354838709677419,14.32086694773698,8.59660124278419,4.890849502562059,2026-08-28T23:49:07.278826+00:00,1806733
yacht,0.1,4,2000,2.29395407764269,-2.4815786053778637,0.9354838709677419,14.359678914197893,7.8371788468034795,5.695554656905447,2026-08-28T23:49:17.567989+00:00,1806733
yacht,0.1,5,2000,0.8521375792260927,-2.2443258960979664,1.0,14.282899792421523,7.946046315737135,5.41806855978485,2026-08-28T23:49:18.802147+00:00,1806733
yacht,0.1,6,2000,0.5689674210483798,-2.2601658916616425,1.0,14.830942708960542,8.184683239008738,6.2119462249055415,2026-08-28T23:49:29.359831+00:00,1806733
yacht,0.1,7,2000,2.617223228079371,-2.5347905529784067,0.967741935483871,14.216240611266858,7.819624356568241,5.432751963347377,2026-08-28T23:49:30.630805+00:00,1806733
yacht,0.1,8,2000,1.3978871129206596,-2.259590460635881,1.0,13.791968539679033,7.621713205978569,4.897331950982095,2026-08-28T23:49:40.241864+00:00,1806733
yacht,0.1,9,2000,0.9762871273447301,-2.266346120339864,1.0,14.4771194872826,8.164979725839263,5.593372309660014,2026-08-28T23:49:41.409449+00:00,1806733
yacht,0.1,10,2000,2.1871627549803496,-2.3980885348495296,0.967741935483871,13.830886144298,8.058397312319379,4.558945069214359,2026-08-28T23:49:50.951902+00:00,1806733
yacht,0.1,11,2000,1.6917719297578069,-2.3604504030092057,0.967741935483871,14.274361134607231,7.828821716548715,5.5613238337707624,2026-08-28T23:49:51.944573+00:00,1806733
yacht,0.1,12,2000,1.8533267275564254,-2.3769030456328846,1.0,14.380534328997816,8.279173242743038,5.316805944983672,2026-08-28T23:50:01.698779+00:00,1806733
yacht,0.1,13,2000,1.4163609779856896,-2.2989694460372636,1.0,14.178630200551323,8.110903243105584,5.123146963238551,2026-08-28T23:50:02.771200+00:00,1806733
