experiment_id,dataset,method,split_index,alpha,empirical
e2_uci,energy,gp,0,0.15,0.1298701298701298
e2_uci,energy,gp,0,0.2,0.1298701298701298
e2_uci,energy,gp,0,0.25,0.1818181818181818
e2_uci,energy,gp,0,0.3,0.2337662337662337
e2_uci,energy,gp,0,0.35,0.2857142857142857
e2_uci,energy,gp,0,0.4,0.3246753246753247
e2_uci,energy,gp,0,0.45,0.3636363636363636
e2_uci,energy,gp,0,0.5,0.4805194805194805
e2_uci,energy,gp,0,0.55,0.5324675324675324
e2_uci,energy,gp,0,0.6000000000000001,0.6493506493506493
e2_uci,energy,gp,0,0.6500000000000001,0.7142857142857143
e2_uci,energy,gp,0,0.7000000000000001,0.7662337662337663
e2_uci,energy,gp,0,0.7500000000000001,0.8181818181818182
e2_uci,energy,gp,0,0.8,0.8571428571428571
e2_uci,energy,gp,0,0.8500000000000001,0.935064935064935
e2_uci,energy,gp,0,0.9000000000000001,0.948051948051948
e2_uci,energy,gp,0,0.95,0.974025974025974
e2_uci,energy,gp,1,0.05,0.0649350649350649
e2_uci,energy,gp,1,0.1,0.1038961038961039
e2_uci,energy,gp,1,0.15,0.1558441558441558
e2_uci,energy,gp,1,0.2,0.1818181818181818
e2_uci,energy,gp,1,0.25,0.2337662337662337
e2_uci,energy,gp,1,0.3,0.2727272727272727
e2_uci,energy,gp,1,0.35,0.2987012987012987
e2_uci,energy,gp,1,0.4,0.3246753246753247
e2_uci,energy,gp,1,0.45,0.3766233766233766
e2_uci,energy,gp,1,0.5,0.4155844155844156
e2_uci,energy,gp,1,0.55,0.5324675324675324
e2_uci,energy,gp,1,0.6000000000000001,0.6103896103896104
e2_uci,energy,gp,1,0.6500000000000001,0.6883116883116883
e2_uci,energy,gp,1,0.7000000000000001,0.7272727272727273
e2_uci,energy,gp,1,0.7500000000000001,0.7532467532467533
e2_uci,energy,gp,1,0.8,0.8051948051948052
e2_uci,energy,gp,1,0.8500000000000001,0.8701298701298701
e2_uci,energy,gp,1,0.9000000000000001,0.8961038961038961
e2_uci,energy,gp,1,0.95,0.935064935064935
e2_uci,energy,gp,2,0.05,0.0389610389610389
e2_uci,energy,gp,2,0.1,0.0649350649350649
e2_uci,energy,gp,2,0.15,0.0909090909090909
e2_uci,energy,gp,2,0.2,0.1038961038961039
e2_uci,energy,gp,2,0.25,0.1428571428571428
e2_uci,energy,gp,2,0.3,0.1558441558441558
e2_uci,energy,gp,2,0.35,0.2467532467532467
e2_uci,energy,gp,2,0.4,0.3246753246753247
e2_uci,energy,gp,2,0.45,0.3896103896103896
e2_uci,energy,gp,2,0.5,0.4545454545454545
e2_uci,energy,gp,2,0.55,0.5194805194805194
e2_uci,energy,gp,2,0.6000000000000001,0.6233766233766234
e2_uci,energy,gp,2,0.6500000000000001,0.6623376623376623
e2_uci,energy,gp,2,0.7000000000000001,0.7012987012987013
e2_uci,energy,gp,2,0.7500000000000001,0.7532467532467533
e2_uci,energy,gp,2,0.8,0.8441558441558441
e2_uci,energy,gp,2,0.8500000000000001,0.8701298701298701
e2_uci,energy,gp,2,0.9000000000000001,0.9090909090909092
e2_uci,energy,gp,2,0.95,0.948051948051948
e2_uci,energy,gp,3,0.05,0.0649350649350649
e2_uci,energy,gp,3,0.1,0.1038961038961039
e2_uci,energy,gp,3,0.15,0.1428571428571428
e2_uci,energy,gp,3,0.2,0.1558441558441558
e2_uci,energy,gp,3,0.25,0.1688311688311688
e2_uci,energy,gp,3,0.3,0.2337662337662337
e2_uci,energy,gp,3,0.35,0.2857142857142857
e2_uci,energy,gp,3,0.4,0.3636363636363636
e2_uci,energy,gp,3,0.45,0.4025974025974026
e2_uci,energy,gp,3,0.5,0.4285714285714285
e2_uci,energy,gp,3,0.55,0.5064935064935064
e2_uci,energy,gp,3,0.6000000000000001,0.5584415584415584
e2_uci,energy,gp,3,0.6500000000000001,0.6363636363636364
e2_uci,energy,gp,3,0.7000000000000001,0.7272727272727273
e2_uci,energy,gp,3,0.7500000000000001,0.7922077922077922
e2_uci,energy,gp,3,0.8,0.8181818181818182
e2_uci,energy,gp,3,0.8500000000000001,0.8571428571428571
