dataset,method,metric,split_index,own_value,published_value,difference
power_plant,mcd,rmse,17,4.175284385044263,3.8695979353463237,0.305686449697939
power_plant,mcd,rmse,18,4.372459533276766,4.150467450891483,0.22199208238528279
power_plant,mcd,rmse,19,4.537332517229378,4.29450085436967,0.24283166285970736
wine_quality_red,mcd,ll,0,-0.9646913451462228,-0.9277743462163345,-0.03691699892988831
wine_quality_red,mcd,ll,1,-0.954510344968918,-0.9098810714357723,-0.04462927353314561
wine_quality_red,mcd,ll,2,-1.0922654801328,-1.0650342654798772,-0.027231214652922775
wine_quality_red,mcd,ll,3,-0.9499836527068748,-0.8997620705216447,-0.050221582185230096
wine_quality_red,mcd,ll,4,-0.8637194039890161,-0.8436623979941842,-0.020057005994831956
wine_quality_red,mcd,ll,5,-0.9659547322316688,-0.9500400310055988,-0.015914701226070083
wine_quality_red,mcd,ll,6,-1.0745100101571938,-0.9725696421837025,-0.10194036797349137
wine_quality_red,mcd,ll,7,-1.02792175677824,-0.9950972426312858,-0.03282451414695409
wine_quality_red,mcd,ll,8,-0.9043924855806365,-0.8376710082163294,-0.066721477364307
wine_quality_red,mcd,ll,9,-0.9974442763442932,-0.9602985549041623,-0.03714572144013095
wine_quality_red,mcd,ll,10,-1.0075081831027553,-0.9203678143412081,-0.08714036876154718
wine_quality_red,mcd,ll,11,-0.9774754858501704,-0.963500810669817,-0.013974675180353446
wine_quality_red,mcd,ll,12,-0.9911312191259553,-1.0138993856476355,0.022768166521680233
wine_quality_red,mcd,ll,13,-0.9679935557160072,-0.9232164810783143,-0.04477707463769287
wine_quality_red,mcd,ll,14,-0.9210687473726008,-0.9070202502840022,-0.014048497088598566
wine_quality_red,mcd,ll,15,-0.8704428326671835,-0.8311790036123018,-0.03926382905488168
wine_quality_red,mcd,ll,16,-0.9091901891489116,-0.9235146922925839,0.014324503143672285
wine_quality_red,mcd,ll,17,-0.938751913378738,-0.8761688921008723,-0.06258302127786564
wine_quality_red,mcd,ll,18,-0.9819773302002665,-0.9071499276485093,-0.07482740255175713
wine_quality_red,mcd,ll,19,-0.9178709737528044,-0.9339858544222606,0.01611488066945621
wine_quality_red,mcd,rmse,0,0.6342737660806679,0.6100256947969805,0.024248071283687334
wine_quality_red,mcd,rmse,1,0.6287609937458993,0.6091497604477942,0.019611233298105102
wine_quality_red,mcd,rmse,2,0.708851247589667,0.6993782589180625,0.00947298867160451
wine_quality_red,mcd,rmse,3,0.625244001741731,0.6030545651257786,0.022189436615952407
wine_quality_red,mcd,rmse,4,0.5677888134715796,0.5640917126624445,0.003697100809135101
wine_quality_red,mcd,rmse,5,0.6362612292901623,0.6334121507889642,0.002849078501198088
wine_quality_red,mcd,rmse,6,0.6979236215935234,0.6412073203216072,0.05671630127191618
wine_quality_red,mcd,rmse,7,0.6742420515430458,0.6841250880461702,-0.009883036503124387
wine_quality_red,mcd,rmse,8,0.5966381506846279,0.5770285385008813,0.019609612183746572
wine_quality_red,mcd,rmse,9,0.6562039436005096,0.6394951272101889,0.016708816390320735
wine_quality_red,mcd,rmse,10,0.6622114596224179,0.6432057732022817,0.019005686420136225
wine_quality_red,mcd,rmse,11,0.6426802096409546,0.6379198724356151,0.0047603372053395265
wine_quality_red,mcd,rmse,12,0.6510609384778349,0.6718124863651784,-0.02075154788734357
wine_quality_red,mcd,rmse,13,0.6375353499198531,0.6060020604721845,0.03153328944766853
wine_quality_red,mcd,rmse,14,0.6061291206219332,0.6036624957030398,0.0024666249188934897
wine_quality_red,mcd,rmse,15,0.5720653399831671,0.5586949971682118,0.013370342814955305
wine_quality_red,mcd,rmse,16,0.5984896345008819,0.615187151181001,-0.016697516680119096
wine_quality_red,mcd,rmse,17,0.6187538714353656,0.5920112364569738,0.0267426349783918
wine_quality_red,mcd,rmse,18,0.6457029395457403,0.6251490775922512,0.020553861953489072
wine_quality_red,mcd,rmse,19,0.6050437200561127,0.6215667336674118,-0.016523013611299042
yacht,mcd,ll,0,-2.316863078406825,-1.3110059312080142,-1.005857147198811
yacht,mcd,ll,1,-2.363802775591316,-1.201944274220226,-1.1618585013710898
yacht,mcd,ll,2,-2.3025795685778863,-1.1386527314361787,-1.1639268371417075
yacht,mcd,ll,3,-2.46513708930334,-1.2476662590115237,-1.2174708302918165
yacht,mcd,ll,4,-2.481578605377864,-1.2218535063793108,-1.2597250989985533
yacht,mcd,ll,5,-2.2443258960979664,-1.2204540505653356,-1.0238718455326308
yacht,mcd,ll,6,-2.2601658916616425,-1.1714197396911215,-1.088746151970521
yacht,mcd,ll,7,-2.5347905529784067,-1.3849432786534897,-1.149847274324917
yacht,mcd,ll,8,-2.259590460635881,-1.183757610411186,-1.0758328502246952
yacht,mcd,ll,9,-2.266346120339864,-1.1592421873363965,-1.1071039330034673
yacht,mcd,ll,10,-2.3980885348495296,-1.3536369369460255,-1.044451597903504
yacht,mcd,ll,11,-2.3604504030092057,-1.3443089560124832,-1.0161414469967225
yacht,mcd,ll,12,-2.376903045632885,-1.2632000087861566,-1.1137030368467284
yacht,mcd,ll,13,-2.298969446037264,-1.262759465603726,-1.036209980433538
yacht,mcd,ll,14,-2.370175281085612,-1.2891860880202384,-1.0809891930653734
yacht,mcd,ll,15,-2.3122463131720017,-1.2143676074842424,-1.0978787056877592
yacht,mcd,ll,16,-2.353671089605652,-1.1899994762703916,-1.1636716133352605
yacht,mcd,ll,17,-2.35480506048684,-1.2533636044970509,-1.101441455989789
yacht,mcd,ll,18,-2.336867973537092,-1.2410882761524138,-1.0957796973846783
yacht,mcd,ll,19,-2.593662662335176,-1.350115948450116,-1.2435467138850602
yacht,mcd,rmse,0,1.3889381212903749,0.885646995095317,0.5032911261950579
yacht,mcd,rmse,1,1.6754166917095905,0.6057907960602585,1.0696258956493319
