dataset,method,seed,epoch,on_grid,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit
yacht,map,2,5000,True,2.5731468315534136,-2.5731468315534136,0.05330481766650683,0.00024442108519260626,0.0,222,55,277,128,2,10000,,False,5000,10.534219500143081,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,5,True,1.1400353168303137,-1.1400353168303137,0.6687119406374908,0.9802648745316086,0.012478956692345493,222,55,277,128,2,10,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,10,True,1.0808721194494022,-1.0808721194494022,0.6230511716260182,0.8884630959558083,0.009298486214630464,222,55,277,128,2,20,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,20,True,1.0268932738037477,-1.0268932738037477,0.6220425714263652,0.7241141448117648,0.008174709734743107,222,55,277,128,2,40,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,50,True,0.7744474667763458,-0.7744474667763458,0.4806246491595359,0.42162441960795377,0.01875034277136486,222,55,277,128,2,100,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,100,True,0.32731156995925315,-0.32731156995925315,0.2640107208998162,0.1697499424565482,0.04498682949145472,222,55,277,128,2,200,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,200,True,-0.038393233891945704,0.038393233891945704,0.17783389063395702,0.07093542297888526,0.034223455518219835,222,55,277,128,2,400,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,500,True,-0.19763184006842244,0.19763184006842244,0.1510719902387403,0.04601039648032137,0.027149484007251562,222,55,277,128,2,1000,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,1000,True,-0.21086029839097897,0.21086029839097897,0.1466132653003547,0.045412938692036865,0.026504352661805796,222,55,277,128,2,2000,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,2000,True,-0.3295998842853527,0.3295998842853527,0.1321655721623465,0.03526353442080101,0.02089408359201483,222,55,277,128,2,4000,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,0,5000,True,-0.3662570764116853,0.3662570764116853,0.12675021518982804,0.03314408880132505,0.019134670426267205,222,55,277,128,2,10000,,False,5000,11.738970499951392,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,5,True,1.1374200902932445,-1.1374200902932445,0.6911759372411694,0.9094105399134237,0.015093180959732657,222,55,277,128,2,10,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,10,True,1.0495679727737934,-1.0495679727737934,0.6092631444716445,0.821003389807392,0.010704302987195265,222,55,277,128,2,20,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,20,True,0.9957473866719947,-0.9957473866719947,0.6061245866041136,0.6691377421732922,0.010378182093642479,222,55,277,128,2,40,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,50,True,0.6669645533622949,-0.6669645533622949,0.39018994558168885,0.37403116555887106,0.03690834006692833,222,55,277,128,2,100,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,100,True,0.2578663021961318,-0.2578663021961318,0.24183800923121548,0.14591976224430195,0.04831529420489264,222,55,277,128,2,200,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,200,True,-0.03077875287285609,0.03077875287285609,0.17581449375177538,0.06964132213858339,0.038946163356804134,222,55,277,128,2,400,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,500,True,-0.17328430907359463,0.17328430907359463,0.1541115311629854,0.04833961593017246,0.030567650190609804,222,55,277,128,2,1000,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,1000,True,-0.23946437516286248,0.23946437516286248,0.14361762616471785,0.04494131603024747,0.026360159899714845,222,55,277,128,2,2000,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,2000,True,-0.31185361052448635,0.31185361052448635,0.1364658064158068,0.035874322394499746,0.022606039442572622,222,55,277,128,2,4000,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,1,5000,True,-0.37648967464314226,0.37648967464314226,0.12115085098101915,0.0326864443718571,0.02067126519697225,222,55,277,128,2,10000,,False,5000,11.701973099960014,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,5,True,1.0952664346281502,-1.0952664346281502,0.6204200878699182,0.934483900709931,0.01493956310832903,222,55,277,128,2,10,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,10,True,1.0632345612180902,-1.0632345612180902,0.6170759745857012,0.8433676572798574,0.01321430613205393,222,55,277,128,2,20,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,20,True,0.9943035238226762,-0.9943035238226762,0.5966737588976888,0.6870331492881249,0.012347974581580769,222,55,277,128,2,40,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,50,True,0.6959508388821652,-0.6959508388821652,0.41284021486333355,0.389240522584042,0.035021245989088234,222,55,277,128,2,100,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,100,True,0.27284023810019653,-0.27284023810019653,0.24325848553483143,0.15566759761295043,0.04450805760243427,222,55,277,128,2,200,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,200,True,-0.07163069123691358,0.07163069123691358,0.16783250472166736,0.06706383051137353,0.035494746189665,222,55,277,128,2,400,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,500,True,-0.19208597606279654,0.19208597606279654,0.1521823852677512,0.04788502693064043,0.03027182605284692,222,55,277,128,2,1000,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,1000,True,-0.1599185638683205,0.1599185638683205,0.1621242026136194,0.04693487174359082,0.030760092002606106,222,55,277,128,2,2000,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,2000,True,-0.27652068244966316,0.27652068244966316,0.13823554397423649,0.037660177447664346,0.02542151336630335,222,55,277,128,2,4000,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,mcd,2,5000,True,-0.35030450915762607,0.35030450915762607,0.12855424465885965,0.0323636375882984,0.020935531525070602,222,55,277,128,2,10000,,False,5000,11.759706500219181,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,5,True,1.1162999667848945,-1.1162999667848945,0.6445635262306346,0.9425376242293404,0.02447847450611002,222,55,277,128,2,10,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,10,True,1.0754653479350946,-1.0754653479350946,0.6240705817510698,0.8513259610784305,0.02585649927686115,222,55,277,128,2,20,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,20,True,1.0042822741575326,-1.0042822741575326,0.6002266831263147,0.6952182286239448,0.02370396767456554,222,55,277,128,2,40,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,50,True,0.7695263930231799,-0.7695263930231799,0.47905803130607544,0.415348215633649,0.025952320645270442,222,55,277,128,2,100,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,100,True,0.3043364215279791,-0.3043364215279791,0.2935741337579621,0.14555298479087267,0.039970068399717534,222,55,277,128,2,200,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,200,True,-0.31798473991876336,0.31798473991876336,0.12876534936939057,0.04290985149964308,0.02605534455827096,222,55,277,128,2,400,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,500,True,-0.730884706564924,0.730884706564924,0.10474695569579523,0.01524227275873978,0.010652564244853105,222,55,277,128,2,1000,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,1000,True,-1.213219597711557,1.213219597711557,0.06875303317774394,0.005286931442321066,0.003317019784541827,222,55,277,128,2,2000,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,2000,True,-1.3112143851579905,1.3112143851579905,0.06294159216620349,0.0016164590686666331,0.0006018202585494481,222,55,277,128,2,4000,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
yacht,bbb,0,5000,True,-0.7797576606951643,0.7797576606951643,0.05949756659466718,0.0008666802313997136,0.00013154880023804295,222,55,277,128,2,10000,8,False,5000,75.01271610008553,2026-08-28T15:51:40.101745+00:00,1806733
