dataset,split_index,dropout_p,tau,n_train,n_validation,epochs,validation_rmse,validation_ll,timestamp,git_commit
energy,14,0.01,0.25,552,139,4000,0.5578801603618012,-1.6951933363408271,2026-08-30T23:43:04.006078+00:00,1806733
energy,14,0.01,0.5,552,139,4000,0.5851910560215243,-1.4120131461381842,2026-08-30T23:43:04.029000+00:00,1806733
energy,14,0.01,0.75,552,139,4000,0.570628897388356,-1.2547091257462457,2026-08-30T23:43:04.052907+00:00,1806733
energy,14,0.05,0.25,552,139,4000,0.9695981068543598,-1.8502332180944596,2026-08-30T23:43:04.076089+00:00,1806733
energy,14,0.05,0.5,552,139,4000,0.971938025177703,-1.654000655613888,2026-08-30T23:43:04.099793+00:00,1806733
energy,14,0.05,0.75,552,139,4000,1.0355935554065727,-1.598051079605244,2026-08-30T23:43:04.124179+00:00,1806733
energy,14,0.1,0.25,552,139,4000,1.4497717497373432,-2.0216670891770705,2026-08-30T23:43:04.149827+00:00,1806733
energy,14,0.1,0.5,552,139,4000,1.4649246220419596,-1.9139291837992531,2026-08-30T23:43:04.175568+00:00,1806733
energy,14,0.1,0.75,552,139,4000,1.4349512771837178,-1.8674923458328154,2026-08-30T23:43:04.200058+00:00,1806733
energy,15,0.005,0.25,552,139,4000,0.5872979904641812,-1.6799994125433348,2026-08-30T23:43:09.842047+00:00,1806733
energy,15,0.005,0.5,552,139,4000,0.5783517069738044,-1.3821589658852595,2026-08-30T23:43:09.867579+00:00,1806733
energy,15,0.005,0.75,552,139,4000,0.5958790873660668,-1.233270594122888,2026-08-30T23:43:09.890575+00:00,1806733
energy,15,0.01,0.25,552,139,4000,0.8931322844850027,-1.749303450985091,2026-08-30T23:43:09.915883+00:00,1806733
energy,15,0.01,0.5,552,139,4000,0.8981312256657136,-1.507194286025547,2026-08-30T23:43:09.938680+00:00,1806733
energy,15,0.01,0.75,552,139,4000,0.885771323657408,-1.3948508034175597,2026-08-30T23:43:09.960579+00:00,1806733
energy,15,0.05,0.25,552,139,4000,1.599057460987613,-1.971945921335986,2026-08-30T23:43:09.982345+00:00,1806733
energy,15,0.05,0.5,552,139,4000,1.593642221924019,-1.8640970470366407,2026-08-30T23:43:10.006177+00:00,1806733
energy,15,0.05,0.75,552,139,4000,1.6045743647097384,-1.8632850539860835,2026-08-30T23:43:10.031264+00:00,1806733
energy,15,0.1,0.25,552,139,4000,2.0086080528543984,-2.1437084993221394,2026-08-30T23:43:10.054892+00:00,1806733
energy,15,0.1,0.5,552,139,4000,2.0131074137695473,-2.089654137010403,2026-08-30T23:43:10.077713+00:00,1806733
energy,15,0.1,0.75,552,139,4000,2.0127791734009484,-2.088425817236463,2026-08-30T23:43:10.101326+00:00,1806733
energy,16,0.005,0.25,552,139,4000,0.51898776123878,-1.6729714001461053,2026-08-30T23:48:59.808253+00:00,1806733
energy,16,0.005,0.5,552,139,4000,0.5476865766306079,-1.376286180880837,2026-08-30T23:48:59.833999+00:00,1806733
energy,16,0.005,0.75,552,139,4000,0.5368422431947524,-1.2098431647092391,2026-08-30T23:48:59.859430+00:00,1806733
energy,16,0.01,0.25,552,139,4000,0.5695405865398364,-1.6973232425405353,2026-08-30T23:48:59.882829+00:00,1806733
energy,16,0.01,0.5,552,139,4000,0.570658940367695,-1.4081030548132598,2026-08-30T23:48:59.907578+00:00,1806733
energy,16,0.01,0.75,552,139,4000,0.5590359109544955,-1.251529504384591,2026-08-30T23:48:59.930511+00:00,1806733
energy,16,0.05,0.25,552,139,4000,1.0001351993300016,-1.8453104413044605,2026-08-30T23:48:59.955326+00:00,1806733
energy,16,0.05,0.5,552,139,4000,0.9997307504781839,-1.6422407497230347,2026-08-30T23:48:59.978376+00:00,1806733
energy,16,0.05,0.75,552,139,4000,1.0049499299833309,-1.5535732435246772,2026-08-30T23:49:00.002016+00:00,1806733
energy,16,0.1,0.25,552,139,4000,1.701676595512262,-2.066985928249274,2026-08-30T23:49:00.026647+00:00,1806733
