dataset,epochs,seed,train_time_s,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,timestamp,git_commit,rmse_in_gap,ll_in_gap,picp95_in_gap,mpiw95_in_gap,median_std_epi_in_gap,gap_ratio
sin_homo,2000,1,36.5774712000275,0.10045245224769492,0.8784944668285192,0.9566666666666667,0.40034346167966195,0.01956583985851336,0.20054811402785477,-0.33315700967288187,0.6825,0.43201334451893003,0.03679487398335041,0.09283371264395136,4.744683249748575,0.07151778568971942,3.655237199470437,2026-08-26T09:43:32.863800+00:00,1806733,,,,,,
sin_homo,2000,2,35.74739909998607,0.10033493130506325,0.8787359390538412,0.9466666666666667,0.40582044466646094,0.02945667646917614,0.2842398429037304,-1.4102136418891202,0.5525,0.432609601347425,0.0333912659644119,0.10967248394562572,3.723179159753086,0.04703346370318868,1.5966996056871903,2026-08-26T09:44:08.669196+00:00,1806733,,,,,,
sin_gap,300,0,5.329387599951588,0.11659812411864556,0.7136038608866321,0.9075,0.39955632787763606,0.020917215474067503,0.6069574494049882,-7.612493211461238,0.1125,0.5890164940658156,0.09664238123589027,0.23606633732749585,11.285743918456228,0.1456288189560159,6.962151302431333,2026-08-26T09:44:14.051176+00:00,1806733,0.22684461496484223,-0.8468888712398599,0.555,0.42631217586036757,0.042637256995386605,2.038381114744786
sin_gap,300,1,5.241773899993859,0.11901565068391685,0.6885567935460234,0.915,0.3984456095573507,0.01612808960191519,0.49463131934361376,-5.315207410523595,0.4725,0.5170761314604253,0.08380534379996088,0.13609448735683724,8.438351392881412,0.13128047388693684,8.139865112812087,2026-08-26T09:44:19.344246+00:00,1806733,0.2388409290764341,-1.1278916714165272,0.53,0.42091080203540476,0.04011190794117474,2.4870836491639716
sin_gap,300,2,4.6468078000471,0.12177572402783221,0.6569984201065716,0.895,0.3979401261635583,0.01712610491229067,0.5449410444675272,-8.02954659515591,0.5075,0.59535364212252,0.08557815827032544,0.26074793552361775,15.225174484157817,0.10855657315950612,6.338660992412801,2026-08-26T09:44:24.027816+00:00,1806733,0.27484542280213137,-1.8128846352462233,0.41,0.43037167698499457,0.046373652907033325,2.707775827868072
sin_gap,600,0,9.196033800020814,0.1081616543650693,0.8020030509275275,0.935,0.4073788748971524,0.028336862109098734,0.3691555225077852,-3.352256515818664,0.28,0.5045369681875183,0.06178794369101301,0.1868602151408861,6.594245136298518,0.10131301541021753,3.575308198210371,2026-08-26T09:44:33.263511+00:00,1806733,0.12468122893564774,0.6434701915915346,0.905,0.42985789444851963,0.04734665065822335,1.6708501624469114
sin_gap,600,1,9.152335799997672,0.10718227185479533,0.8134871427647199,0.95,0.40227822750338305,0.023996695402439025,0.29375140937906113,-2.1491717707875764,0.5075,0.43628070848879785,0.04209878646946602,0.08995811103054385,3.748770800391145,0.07566505464258731,3.1531447715461987,2026-08-26T09:44:42.456561+00:00,1806733,0.12266647827456703,0.6468668808418596,0.91,0.4048371306129943,0.025520837207983843,1.0635146539964793
sin_gap,600,2,9.199466199963354,0.10833686995335752,0.8005065339494419,0.93,0.3970297316346337,0.018138348121743572,0.34599093808880665,-3.4739650264666544,0.49,0.4865667568790451,0.04769281702763209,0.17560644983924445,9.681501791705829,0.06242206109758428,3.441441341769985,2026-08-26T09:44:51.694910+00:00,1806733,0.14179786496092828,0.4281150407962513,0.875,0.4117926550833053,0.03262886580433786,1.7988884977471349
sin_gap,1000,0,15.463068699929863,0.10400476374529147,0.8430429993053417,0.9425,0.39467634984955974,0.009026645318263308,0.26072740472074624,-1.4008445192110122,0.4825,0.4657755642761511,0.040696629551080526,0.16121854718607823,17.860294882739012,0.08974216510668445,9.941917727188432,2026-08-26T09:45:07.197081+00:00,1806733,0.11105909989827678,0.7657068542797485,0.925,0.40467747604825,0.026867891209637104,2.976509019943013
sin_gap,1000,1,15.501270600012504,0.10727452282178335,0.8125174347864905,0.9475,0.4023576717874127,0.02433054153262807,0.22033037208251582,-0.5074160292871281,0.6425,0.43397891253189047,0.03940202686466032,0.09759138958600981,4.011065247155987,0.06535662203747558,2.686196768363341,2026-08-26T09:45:22.736648+00:00,1806733,0.0985564082021789,0.8969756302167593,0.955,0.40318494374937475,0.022455702116665,0.9229429639513429
sin_gap,1000,2,15.422793600009754,0.10402787942973066,0.8440993858007678,0.9425,0.40242102271739955,0.02088728594455941,0.27696069973133114,-1.3706651164682586,0.495,0.4596019793534565,0.04137116993251838,0.1359979376978115,6.511039206280191,0.0583979747637676,2.7958622732877725,2026-08-26T09:45:38.199193+00:00,1806733,0.10276063716814687,0.8563028495696262,0.94,0.4000225591841145,0.020315722823414338,0.9726358358543012
sin_gap,2000,0,30.878553900052793,0.10349028458717087,0.8477140910504048,0.9475,0.39796650657188204,0.019585962395901584,0.222688206158952,-0.7713330933235077,0.63,0.4500153569159717,0.03549335258538904,0.12564819724775567,6.415216914439083,0.11871013749858768,6.060980568584575,2026-08-26T09:46:09.119654+00:00,1806733,0.1242306500982894,0.6300816842360922,0.89,0.40656316938644194,0.027698417796379222,1.4141974357193288
sin_gap,2000,1,31.465028599952348,0.10048503425073443,0.8784040390498769,0.965,0.3996974666318592,0.019104906087844677,0.22862748969460558,-0.3549869112070763,0.6975,0.44754912939648184,0.03638783944599917,0.1277864291485343,6.688670886994689,0.06531776524316137,3.418900095233611,2026-08-26T09:46:40.626167+00:00,1806733,0.09955366638070416,0.8854066934225382,0.95,0.40492228120713114,0.02718451238407718,1.4229074070860301
sin_gap,2000,2,31.79589179996401,0.1011829406215592,0.8716219683628027,0.9425,0.39774631089668505,0.01679193929146769,0.28551726957058965,-2.0168108164024274,0.5325,0.4105667165828273,0.027633210498749037,0.06905291215607241,4.112265471991049,0.025488072711679806,1.5178754680604873,2026-08-26T09:47:12.462410+00:00,1806733,0.09909799499982845,0.8930266828960624,0.945,0.4024292096240715,0.02506356657690942,1.4925951161367468
