experiment_id,dataset,method,T,repeat,init_seed,predict_seed,mpiw95,picp95,ll,rmse,mean_std_epistemic,mean_var_epistemic,timestamp,git_commit
e6a,sin_homo,mcd,50,1,0,1000,0.9522287328578016,0.696,-1.9825094456998344,0.5692551910659969,0.14249774571998647,0.021686954105969845,2026-08-31T19:36:30.977305+00:00,1806733
e6a,sin_homo,mcd,50,2,0,2000,0.9521055929947302,0.699,-1.9790476882727406,0.5690716301340358,0.14246542261436668,0.021673935413393876,2026-08-31T19:36:31.067260+00:00,1806733
e6a,sin_homo,mcd,50,3,0,3000,0.9504116082916452,0.694,-1.967703807695941,0.5696725179414523,0.14177703476088027,0.021452935369269406,2026-08-31T19:36:31.155694+00:00,1806733
e6a,sin_homo,mcd,50,4,0,4000,0.9530632115651817,0.701,-2.0101969772201813,0.5714494419821541,0.14286356760339589,0.02179848710356055,2026-08-31T19:36:31.244924+00:00,1806733
e6a,sin_homo,mcd,50,5,0,5000,0.9511609192722696,0.706,-2.016904344462611,0.5713052230671071,0.14212413425962558,0.021548485262756444,2026-08-31T19:36:31.342751+00:00,1806733
e6a,sin_homo,mcd,50,6,0,6000,0.9505859089418939,0.704,-2.0039361126579256,0.5704680051121579,0.1418408140208786,0.021478922066721372,2026-08-31T19:36:31.440737+00:00,1806733
e6a,sin_homo,mcd,50,7,0,7000,0.9514283073253644,0.705,-1.9671650673258574,0.5695045217951858,0.14214725813235157,0.021592850898775474,2026-08-31T19:36:31.530219+00:00,1806733
e6a,sin_homo,mcd,50,8,0,8000,0.9518142991181711,0.702,-1.9737405904218344,0.5699269281830759,0.1423520404565237,0.021642216696902337,2026-08-31T19:36:31.616495+00:00,1806733
e6a,sin_homo,mcd,50,9,0,9000,0.9538551788753638,0.702,-1.9757778111448476,0.5694126717267851,0.14322861000055673,0.021898694732192973,2026-08-31T19:36:31.707587+00:00,1806733
e6a,sin_homo,mcd,100,0,0,0,0.9517469439269428,0.698,-1.9727553296378524,0.5697208036990944,0.1425702960411332,0.02158439160934062,2026-08-31T19:36:31.862054+00:00,1806733
e6a,sin_homo,mcd,100,1,0,1000,0.9527038019785354,0.702,-1.968020943131118,0.5692875346764268,0.14294521789094145,0.021701556162964052,2026-08-31T19:36:32.017654+00:00,1806733
e6a,sin_homo,mcd,100,2,0,2000,0.9519141212941966,0.695,-1.9838152274339973,0.5697755394857278,0.14264454332858992,0.02159806094707363,2026-08-31T19:36:32.180603+00:00,1806733
e6a,sin_homo,mcd,100,3,0,3000,0.9514287089896818,0.697,-1.9679417251592495,0.5696519089184267,0.14240473582686275,0.021542359894760083,2026-08-31T19:36:32.335788+00:00,1806733
e6a,sin_homo,mcd,100,4,0,4000,0.9528638024495972,0.708,-1.9863899748280682,0.5702031193804927,0.14302195216846228,0.021724884854381888,2026-08-31T19:36:32.516000+00:00,1806733
e6a,sin_homo,mcd,100,5,0,5000,0.9516701258210172,0.701,-1.9862072687776722,0.5705917531476371,0.14258379313710526,0.021566838954916644,2026-08-31T19:36:32.673501+00:00,1806733
e6a,sin_homo,mcd,100,6,0,6000,0.9514135356080414,0.701,-1.9916147715916963,0.5699654323339174,0.14244606685541752,0.02153703499827188,2026-08-31T19:36:32.828370+00:00,1806733
e6a,sin_homo,mcd,100,7,0,7000,0.9500401080866118,0.703,-1.9838234569412214,0.5696483571346398,0.1418151235562961,0.021371111437398657,2026-08-31T19:36:32.985244+00:00,1806733
e6a,sin_homo,mcd,100,8,0,8000,0.9528894452626726,0.706,-1.96846904058361,0.570153629444007,0.14298726353793278,0.021738517119546077,2026-08-31T19:36:33.140042+00:00,1806733
e6a,sin_homo,mcd,100,9,0,9000,0.9528532579111647,0.694,-1.9734189553636012,0.5700591841516622,0.14303321325996615,0.021722376578116903,2026-08-31T19:36:33.297799+00:00,1806733
e6a,sin_homo,mcd,200,0,0,0,0.9516744159916032,0.703,-1.9748866557837306,0.5697717064607192,0.14265210962883831,0.021549610503904675,2026-08-31T19:36:33.622763+00:00,1806733
e6a,sin_homo,mcd,200,1,0,1000,0.9524438145623981,0.695,-1.9609666252319133,0.5694018942635639,0.14296576202747197,0.02164704262545046,2026-08-31T19:36:33.931095+00:00,1806733
e6a,sin_homo,mcd,200,2,0,2000,0.9528575054705911,0.698,-1.9770194728002557,0.5700415823558845,0.14314698845612855,0.021699022798882275,2026-08-31T19:36:34.236307+00:00,1806733
e6a,sin_homo,mcd,200,3,0,3000,0.9526957183334125,0.698,-1.956872127046087,0.5697180399578544,0.14302848757895198,0.021683593243350834,2026-08-31T19:36:34.562119+00:00,1806733
e6a,sin_homo,mcd,200,4,0,4000,0.9522617895470928,0.703,-1.9758409499007479,0.5699678410352539,0.14288240034733196,0.021624489651072318,2026-08-31T19:36:34.881920+00:00,1806733
e6a,sin_homo,mcd,200,5,0,5000,0.951894397292588,0.698,-1.9802775631101477,0.5708054571204623,0.1427803634192537,0.021572555911983822,2026-08-31T19:36:35.178853+00:00,1806733
e6a,sin_homo,mcd,200,6,0,6000,0.9515686455589735,0.699,-1.9840373201309554,0.5701942782886722,0.14263412104068066,0.021533948963734447,2026-08-31T19:36:35.479060+00:00,1806733
e6a,sin_homo,mcd,200,7,0,7000,0.9516344636696313,0.701,-1.97732366238289,0.569957203428305,0.1425973080421665,0.021550692430891482,2026-08-31T19:36:35.765446+00:00,1806733
e6a,sin_homo,mcd,200,8,0,8000,0.9529819312079472,0.703,-1.9563843459363857,0.5699939273870861,0.14315912885437992,0.021722053216903257,2026-08-31T19:36:36.070325+00:00,1806733
e6a,sin_homo,mcd,200,9,0,9000,0.9523172319824228,0.697,-1.9737696631907944,0.5699093070792745,0.14292551786553873,0.021629915128615736,2026-08-31T19:36:36.391277+00:00,1806733
e6a,sin_homo,mcd,500,0,0,0,0.9523717463160588,0.697,-1.9684298856079931,0.5702242779703358,0.14302289096286006,0.021623549400212022,2026-08-31T19:36:37.187289+00:00,1806733
e6a,sin_homo,mcd,500,1,0,1000,0.9520237845367011,0.696,-1.9691475123069029,0.5699798730102877,0.14289005947016217,0.02157676906434722,2026-08-31T19:36:37.908877+00:00,1806733
e6a,sin_homo,mcd,500,2,0,2000,0.952284354368971,0.698,-1.977872435153795,0.5702428885024131,0.14300590052873263,0.021609661034071706,2026-08-31T19:36:38.649802+00:00,1806733
e6a,sin_homo,mcd,500,3,0,3000,0.9525456180737901,0.695,-1.9610656137827527,0.5700341508201824,0.14306658499662894,0.021647818432689852,2026-08-31T19:36:39.353212+00:00,1806733
e6a,sin_homo,mcd,500,4,0,4000,0.952313925702992,0.698,-1.970395536282577,0.5700255707236964,0.14298837154242522,0.021615716945498797,2026-08-31T19:36:40.036029+00:00,1806733
e6a,sin_homo,mcd,500,5,0,5000,0.9520151369652565,0.698,-1.966590439639454,0.5704448913178926,0.14287615348875357,0.021579438517300296,2026-08-31T19:36:40.757390+00:00,1806733
e6a,sin_homo,mcd,500,6,0,6000,0.9523852229437312,0.696,-1.9682546814832655,0.569973809764367,0.1430366276640415,0.021624617266293753,2026-08-31T19:36:41.470035+00:00,1806733
e6a,sin_homo,mcd,500,7,0,7000,0.9519056650181796,0.698,-1.9677067859046249,0.5700559819128675,0.1428128892762396,0.02156659736560347,2026-08-31T19:36:42.208077+00:00,1806733
e6a,sin_homo,mcd,500,8,0,8000,0.9524797154728238,0.702,-1.9634581133761466,0.5703909350101112,0.14303551541237566,0.02164169133527121,2026-08-31T19:36:42.907430+00:00,1806733
e6a,sin_homo,mcd,500,9,0,9000,0.9524754822172965,0.694,-1.9628278399046972,0.5699175954655116,0.14305821819936881,0.0216377278841048,2026-08-31T19:36:43.669413+00:00,1806733
e6a,sin_homo,bbb,2,0,0,0,0.8721848044827574,0.674,-2.702112488546755,0.5166839346371476,0.13417300492075573,0.026017924054576074,2026-08-31T19:39:03.713785+00:00,1806733
e6a,sin_homo,bbb,2,1,0,1000,0.7753475335178504,0.648,-3.485643849588635,0.5403921997049064,0.10365271658293726,0.013767488300673019,2026-08-31T19:39:03.739974+00:00,1806733
e6a,sin_homo,bbb,2,2,0,2000,0.7927608415169772,0.669,-2.7308352829299407,0.5012112643289901,0.10226485590337364,0.016181970864101475,2026-08-31T19:39:03.765498+00:00,1806733
e6a,sin_homo,bbb,2,3,0,3000,0.744893309522491,0.672,-2.209575695105694,0.4889338652868518,0.08876152072044315,0.010492121766836355,2026-08-31T19:39:03.794091+00:00,1806733
e6a,sin_homo,bbb,2,4,0,4000,0.8467623239006535,0.682,-1.9704278490895109,0.5268878113432279,0.13658483914693706,0.021414440995747363,2026-08-31T19:39:03.823731+00:00,1806733
e6a,sin_homo,bbb,2,5,0,5000,0.9270031023835591,0.681,-2.7522851654138525,0.4961853928729207,0.16349322482692435,0.03157208452308061,2026-08-31T19:39:03.851267+00:00,1806733
