experiment_id,dataset,method,config_id,split_index,init_seed,n_train,n_test,split_type,rmse,mae,ll,nll,crps,picp95,mpiw95,interval_score95,ece_reg,qice,mean_var_aleatoric,mean_var_epistemic,epi_ratio,train_time_s,predict_time_ms_per_1k,n_parameters,torch_threads,timestamp,git_commit
e2_uci,kin8nm,mcd,epochs=1000,10,10,7373,819,random,0.0902972908578022,0.0700856084533531,0.90419992301254,-0.90419992301254,0.0519396222695026,0.9853479853479854,0.4871742544473755,0.5113622756691905,0.0692564745196324,,0.0117236331768884,0.00372910096847,0.2413230521790979,115.54257229997891,212.54432235414592,502,1,2026-08-31T10:14:03.948622+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,11,11,7373,819,random,0.0978069717298211,0.0753399685980765,0.8613229980683315,-0.8613229980683315,0.0551100806699768,0.9829059829059827,0.4833046048925506,0.5339380044761521,0.0478118372855214,,0.0114689820486761,0.0037393741643381,0.245876287480577,116.54098749998955,218.3113553119489,502,1,2026-08-31T10:14:05.483311+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,12,12,7373,819,random,0.0912682165420475,0.0706525151872848,0.9013609262447791,-0.9013609262447791,0.0523439863993159,0.9853479853479854,0.4830021440169536,0.5052893292454602,0.0583510057194267,,0.011476660701476,0.0037126611747151,0.2444257357225806,123.38404180001815,234.37350430049372,502,1,2026-08-31T10:14:21.515162+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,13,13,7373,819,random,0.0934869265607448,0.0709971486151145,0.8810242924340401,-0.8810242924340401,0.0534572724612652,0.9853479853479854,0.4915300030145578,0.5128735912797532,0.0630422209369577,,0.0118105787619627,0.0039207861098783,0.2492336896270505,121.8740056999959,234.86446886310884,502,1,2026-08-31T10:14:20.149570+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,14,14,7373,819,random,0.0894001859941574,0.0691405037162177,0.9089096871491956,-0.9089096871491956,0.0514827253143099,0.9877899877899878,0.48843437527647,0.5134426904530496,0.0629136944926418,,0.0116113697230639,0.0039223522775523,0.2525056311292786,123.16801069999929,223.40512818711449,502,1,2026-08-31T10:14:21.544844+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,15,15,7373,819,random,0.0961148258418453,0.076414352928663,0.8624793808870291,-0.8624793808870291,0.0551635006999426,0.9865689865689866,0.4941041083387362,0.5133053997018205,0.0889081678555362,,0.0121108109721231,0.0037845430785036,0.2380911470389294,123.77305969997542,224.6161172153958,502,1,2026-08-31T10:14:22.443229+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,16,16,7373,819,random,0.0977558601482767,0.0753177125925822,0.8567101127820395,-0.8567101127820395,0.0555410779521143,0.9804639804639804,0.4903771539470368,0.5179224514361049,0.0887153781890623,,0.0117921745374658,0.0038642871444021,0.2468173986512849,149.3966178999981,214.86642246102735,502,1,2026-08-31T10:16:32.838006+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,17,17,7373,819,random,0.0938597371071531,0.0717229583965851,0.8809671726465224,-0.8809671726465224,0.0535720165459549,0.984126984126984,0.4899237877753734,0.521827859639558,0.0586723218302165,,0.0120774245154736,0.0035494614774182,0.2271381181786806,148.9362984999898,221.38547007578975,502,1,2026-08-31T10:16:32.438051+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,18,18,7373,819,random,0.0981668911152044,0.0762226438989603,0.8638745616823882,-0.8638745616823882,0.0555274473335997,0.9792429792429792,0.4773360659884999,0.5172631805380965,0.0478696741854636,,0.0111727350257531,0.0036620890717297,0.246857599905829,149.11648309999146,218.78070816606905,502,1,2026-08-31T10:16:33.336631+00:00,1806733
e2_uci,kin8nm,mcd,epochs=1000,19,19,7373,819,random,0.0910175683674301,0.069228800677675,0.8977764261742225,-0.8977764261742225,0.0520505053383321,0.9816849816849816,0.4895835278790331,0.5272563880434564,0.0651629072681703,,0.0119121307823466,0.0036933702000707,0.2366710433860475,149.30112630000804,146.39047619241936,502,1,2026-08-31T10:16:34.998385+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,0,0,8611,957,random,4.428112073811079,3.349663047679359,-2.9058693263191056,2.9058693263191056,2.3754283111970547,0.9738766980146292,17.541246328471676,22.27811672418456,0.0330363526370785,,18.836950655430037,1.1919950703250295,0.0595136202697005,9.017871599993668,218.7446185899558,302,1,2026-08-31T10:14:29.436212+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,1,1,8611,957,random,3.992996964850155,3.186920521956517,-2.821796404645774,2.821796404645774,2.25231845240669,0.974921630094044,18.02871118910791,19.934242174696497,0.0241104328218665,,19.939134705611927,1.2184975340965718,0.057591393984517,9.082632100005869,215.44503658847407,302,1,2026-08-31T10:14:30.862493+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,2,2,8611,957,random,4.336639833538136,3.298555218489447,-2.8851024983843745,2.8851024983843745,2.358582653309364,0.960292580982236,17.500803445240084,21.97169228485368,0.0679480833745807,,18.71893493733196,1.217837594475723,0.0610849921938343,9.0559964000131,215.50386625633047,302,1,2026-08-31T10:14:30.896303+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,3,3,8611,957,random,4.380595334907111,3.311949047681681,-2.8959187215360243,2.8959187215360243,2.350640854230153,0.9759665621734588,17.545257724187884,21.410009730667102,0.0383160094593851,,18.801200175805462,1.237592955512664,0.0617598548676297,9.193455799977528,213.5047022155472,302,1,2026-08-31T10:14:31.942771+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,4,4,8611,957,random,4.39810934155001,3.4391728484243247,-2.900773953514157,2.900773953514157,2.4330179291499925,0.9592476489028212,17.567680193649373,21.514943435085414,0.0084254523455974,,18.82622358791707,1.263284161439776,0.0628827832518802,9.150993600022048,199.8213166334494,302,1,2026-08-31T10:14:38.907976+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,5,5,8611,957,random,4.390839189239457,3.383971863849596,-2.900376883241833,2.900376883241833,2.3925130205139213,0.9717868338557992,17.86320843046003,22.263802221564205,0.0576472529285596,,19.55796414559444,1.2130194761069135,0.058399712704966,9.123607499990612,206.63908048014204,302,1,2026-08-31T10:14:40.277457+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,6,6,8611,957,random,4.180130294239903,3.346314148597941,-2.8528999906616197,2.8528999906616197,2.3476811218729043,0.974921630094044,17.492938084887722,19.9108857287296,0.0337788043777154,,18.809523071621065,1.1086400424357172,0.0556597531653569,9.080558500019832,202.9529780788345,302,1,2026-08-31T10:14:40.253748+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,7,7,8611,957,random,4.198932923115597,3.420539457104694,-2.8602815281830645,2.8602815281830645,2.3821964124393245,0.9738766980146292,17.969147675132277,19.81874045598656,0.0467249628774129,,19.879754729636893,1.13706727477466,0.0541027218356791,9.119793499994556,217.09550678503263,302,1,2026-08-31T10:14:41.358285+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,8,8,8611,957,random,4.405706809453975,3.2563277722798216,-2.9010740535156354,2.9010740535156354,2.3386847103321595,0.962382445141066,17.77482673321051,22.883134483481644,0.0295880767750096,,19.241498397576773,1.3249522476108488,0.0644229901633939,8.687698100024136,213.99320794177964,302,1,2026-08-31T10:14:47.886887+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,9,9,8611,957,random,4.212938324390819,3.3496014204224,-2.865907112951544,2.865907112951544,2.3662090471677497,0.9780564263322884,18.12908062254497,20.436101972733763,0.022746521476104,,20.10540916762867,1.2874563292843708,0.0601815745286739,8.874647599994205,229.83218390200688,302,1,2026-08-31T10:14:49.439441+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,10,10,8611,957,random,4.316042325548771,3.465155528618589,-2.882650718360634,2.882650718360634,2.433394894662149,0.974921630094044,17.727701427321758,20.213740772711077,0.0188967717098388,,19.421717726650915,1.0341782511253077,0.0505564875891461,8.839276399987284,192.43688612364724,302,1,2026-08-31T10:14:49.385143+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,11,11,8611,957,random,4.443061138971518,3.349109741657561,-2.911249892334676,2.911249892334676,2.3949427527045617,0.9613375130616508,17.448500147544667,23.666165955475435,0.0166034207776494,,18.68613550783004,1.131163558492146,0.0570796027605226,9.042086200002814,218.4140020867084,302,1,2026-08-31T10:14:50.690821+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,12,12,8611,957,random,4.041578912625026,3.191520538283319,-2.826152088009339,2.826152088009339,2.256355504346629,0.974921630094044,17.630135414811054,20.328228675701883,0.0420557663751856,,19.025015895526614,1.2070519572747478,0.0596603355651368,8.834799700009171,231.3686520225673,302,1,2026-08-31T10:14:57.042905+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,13,13,8611,957,random,4.326771843744536,3.380774386327998,-2.8865512612641626,2.8865512612641626,2.4007363985687005,0.9707419017763844,17.898989735751318,21.512589493480785,0.0148875323103997,,19.734507345823207,1.1190570295162727,0.0536626261762531,8.837999499985017,220.17607105800508,302,1,2026-08-31T10:14:58.517093+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,14,14,8611,957,random,4.23095374802121,3.330273317440541,-2.865584490708477,2.865584490708477,2.3531484014306296,0.962382445141066,17.795068326858193,21.499273586588792,0.046026508276962,,19.325190190891917,1.288144075383463,0.0624908158352112,8.9397147000127,228.33573668071168,302,1,2026-08-31T10:14:58.685793+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,15,15,8611,957,random,4.202082073965781,3.3686806651438768,-2.8640416059176013,2.8640416059176013,2.3682376589164287,0.974921630094044,18.23150598823916,20.50451208241545,0.0185447945883517,,20.58608283612836,1.0485807156983205,0.0484676229508448,8.89200720001827,210.59623822840388,302,1,2026-08-31T10:14:59.869988+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,16,16,8611,957,random,4.1154181649179264,3.2281971437400165,-2.8448557737240168,2.8448557737240168,2.299708789301928,0.9822361546499476,18.005128792145385,20.35649983220812,0.0254358466699664,,19.9691199078728,1.1315601488788016,0.0536267146762758,8.913932299998123,223.0727272835641,302,1,2026-08-31T10:15:06.259947+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,17,17,8611,957,random,4.175284385044263,3.310034930227972,-2.8553751747519835,2.8553751747519835,2.32978866729689,0.9707419017763844,17.816178427226756,20.398578553569003,0.0224110432821866,,19.564950299343813,1.0962358043025062,0.053057738253906,8.909637799981283,209.28390804252928,302,1,2026-08-31T10:15:07.711110+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,18,18,8611,957,random,4.372459533276766,3.3152537349981426,-2.894656965773009,2.894656965773009,2.3515351115235767,0.9696969696969696,17.800312041502938,21.74075725928001,0.0230435021723587,,19.43338549358426,1.1909738093496565,0.0577459785226023,8.959600600006524,226.1831765982752,302,1,2026-08-31T10:15:07.974809+00:00,1806733
e2_uci,power_plant,mcd,epochs=50,19,19,8611,957,random,4.537332517229378,3.359695845161108,-2.9299431174127566,2.9299431174127566,2.384318713358971,0.96760710553814,17.70140089662457,23.79450558814198,0.0201286916350437,,19.183355863495656,1.2129515125725403,0.0594691720519835,8.985470699990401,166.4181818208553,302,1,2026-08-31T10:15:09.155198+00:00,1806733
e2_uci,yacht,map,epochs=2000,0,0,277,31,random,0.7144540613947936,0.4394770002168268,-1.2464021371312712,1.2464021371312712,0.3515894260774931,0.8709677419354839,1.9604881520330664,5.576573600465641,0.0719864176570458,,0.2501337365349873,0.0,0.0,14.12081359999138,21.845161456674816,402,1,2026-08-31T10:17:01.714674+00:00,1806733
e2_uci,yacht,map,epochs=2000,1,1,277,31,random,0.4567256467227556,0.3214517652767698,-0.6818773412660735,0.6818773412660735,0.2553021028912386,0.935483870967742,2.2592169196694964,2.323434546233526,0.1069609507640067,,0.3321694523070964,0.0,0.0,14.005845400010005,21.74838746507322,402,1,2026-08-31T10:17:01.600800+00:00,1806733
e2_uci,yacht,map,epochs=2000,2,2,277,31,random,0.630340897212978,0.5003963900347601,-0.9660666410193872,0.9660666410193872,0.3435669476047881,0.967741935483871,2.2580648816415363,3.549024617394481,0.2011884550084889,,0.3318307736526436,0.0,0.0,14.209581200004322,19.81935553973721,402,1,2026-08-31T10:17:01.800529+00:00,1806733
