dataset,method,epochs,seed,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,train_time_s,timestamp,git_commit
energy,map,500,2,553,138,691,128,5,2500,-1.4660248440677885,1.4660248440677885,0.0552181739523395,0.002478752176666359,0.0,4.15014110004995,2026-08-26T23:23:27.638415+00:00,1806733
energy,map,1000,0,553,138,691,128,5,5000,-1.5838993930908105,1.5838993930908105,0.0496455752781863,0.002478752176666359,0.0,8.830046799965203,2026-08-26T23:23:36.491151+00:00,1806733
energy,map,1000,1,553,138,691,128,5,5000,-1.6980703571602254,1.6980703571602254,0.043573846436867916,0.002478752176666359,0.0,8.895204299944453,2026-08-26T23:23:45.417555+00:00,1806733
energy,map,1000,2,553,138,691,128,5,5000,-1.495334033986905,1.495334033986905,0.053886420348861076,0.002478752176666359,0.0,8.192022200091742,2026-08-26T23:23:53.632134+00:00,1806733
energy,map,2000,0,553,138,691,128,5,10000,-1.577965799432085,1.577965799432085,0.04994095474754264,0.002478752176666359,0.0,16.39699549996294,2026-08-26T23:24:10.051264+00:00,1806733
energy,map,2000,1,553,138,691,128,5,10000,-1.6447195725593375,1.6447195725593375,0.0465098574521183,0.002478752176666359,0.0,16.250926599954255,2026-08-26T23:24:26.325072+00:00,1806733
energy,map,2000,2,553,138,691,128,5,10000,-1.5490332563807092,1.5490332563807092,0.051356909654167116,0.002478752176666359,0.0,16.354736999957822,2026-08-26T23:24:42.704399+00:00,1806733
concrete,map,50,0,742,185,927,128,6,300,0.31635382133135165,-0.31635382133135165,0.3319950524837857,0.11180221094426476,0.0,0.5082190999528393,2026-08-26T23:24:43.242327+00:00,1806733
concrete,map,50,1,742,185,927,128,6,300,0.3742485784100213,-0.3742485784100213,0.35156871566013026,0.11746084964225245,0.0,0.4938001000555232,2026-08-26T23:24:43.759463+00:00,1806733
concrete,map,50,2,742,185,927,128,6,300,0.39198885365489505,-0.39198885365489505,0.3571882196385254,0.11553650108057778,0.0,0.48446559999138117,2026-08-26T23:24:44.266991+00:00,1806733
concrete,map,100,0,742,185,927,128,6,600,0.3294893661912607,-0.3294893661912607,0.32199802024480184,0.07011971844244293,0.0,0.9948990999255329,2026-08-26T23:24:45.284587+00:00,1806733
concrete,map,100,1,742,185,927,128,6,600,0.294537703816789,-0.294537703816789,0.3138393481647579,0.06942841942859275,0.0,0.9886782999383286,2026-08-26T23:24:46.295576+00:00,1806733
concrete,map,100,2,742,185,927,128,6,600,0.3979338952488839,-0.3979338952488839,0.33634815588677736,0.06987467161387462,0.0,0.9908602999057621,2026-08-26T23:24:47.308502+00:00,1806733
concrete,map,200,0,742,185,927,128,6,1200,0.4937742617491571,-0.4937742617491571,0.3208686399015695,0.04635312137917168,0.0,1.9924150999868289,2026-08-26T23:24:49.323863+00:00,1806733
concrete,map,200,1,742,185,927,128,6,1200,0.5912603838707037,-0.5912603838707037,0.3372630331543045,0.04760216006502898,0.0,2.0098335000220686,2026-08-26T23:24:51.355917+00:00,1806733
concrete,map,200,2,742,185,927,128,6,1200,0.5142776698032823,-0.5142776698032823,0.32865063709260295,0.048906582261353755,0.0,1.9650525000179186,2026-08-26T23:24:53.343391+00:00,1806733
concrete,map,500,0,742,185,927,128,6,3000,0.4631866858722892,-0.4631866858722892,0.2803093685384629,0.030454619908515817,0.0,4.906290999962948,2026-08-26T23:24:58.272090+00:00,1806733
concrete,map,500,1,742,185,927,128,6,3000,0.9926947662668801,-0.9926947662668801,0.351283030317267,0.035361788391692406,0.0,4.899423299939372,2026-08-26T23:25:03.193785+00:00,1806733
