dataset,method,variant,dimension,split_index,n_train_full,n_train,n_removed,feature_n_distinct,gap_leak_fraction,n_gap_in,n_gap_out,mean_std_epi_gap_in,mean_std_epi_gap_out,epi_gap_ratio,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,timestamp,git_commit
concrete,bbb,control,5,3,927,621,306,284,0.0112903225806451,36,67,2.223291579460864,2.339074271596106,0.950500634571028,4.916386852632838,6.953595211476717,-3.004579553254056,-3.4661076773760966,0.9166666666666666,0.8805970149253731,2026-08-31T17:23:04.261079+00:00,1806733
concrete,bbb,control,6,3,927,621,306,302,0.0,33,70,2.2987793296070884,2.2985250740070904,1.0001106168485492,5.828770817355733,6.534093827378479,-3.1952071994039395,-3.3564605817287787,0.9090909090909092,0.8857142857142857,2026-08-31T17:23:04.387693+00:00,1806733
concrete,bbb,control,7,3,927,621,306,14,0.1193548387096774,36,67,2.2749216868543205,2.3113327213548462,0.9842467360219854,8.139871305564187,5.073338798406907,-3.792766278582591,-3.042604362274197,0.8333333333333334,0.9253731343283582,2026-08-31T17:23:04.508660+00:00,1806733
concrete,gp,gap,0,3,927,620,307,278,0.0048387096774193,36,67,4.540248199961649,2.8750355643524164,1.5791972302034154,5.012224615402976,5.826698810486437,-3.014330353740733,-3.236774637867697,1.0,0.9253731343283582,2026-08-31T17:18:54.128085+00:00,1806733
concrete,gp,gap,1,3,927,618,309,185,0.5097087378640777,34,69,5.046781476369131,3.0625132387508165,1.6479215216152625,7.127554054011396,6.240416006401227,-3.3843659364419927,-3.326264329936356,0.8823529411764706,0.8840579710144928,2026-08-31T17:18:54.400257+00:00,1806733
concrete,gp,gap,2,3,927,624,303,156,0.5112179487179487,40,63,3.012066038912488,2.9712155179098536,1.0137487572868398,7.170473933321151,5.031565015927163,-3.458220916770641,-3.0829612602156784,0.875,0.9365079365079364,2026-08-31T17:19:01.117674+00:00,1806733
concrete,gp,gap,3,3,927,622,305,195,0.1302250803858521,38,65,3.8341943697005454,2.865254914896794,1.338168673846827,5.645888607134357,6.125612385086502,-3.049781518566232,-3.258266092953383,0.9736842105263158,0.9076923076923076,2026-08-31T17:19:03.981045+00:00,1806733
concrete,gp,gap,4,3,927,624,303,111,0.5192307692307693,40,63,4.831822979655783,2.766422256620597,1.746596336872389,7.951984131140874,5.293706517038206,-3.351324744476943,-3.1049866292029527,0.925,0.9206349206349206,2026-08-31T17:19:04.562049+00:00,1806733
concrete,gp,gap,5,3,927,620,307,284,0.0112903225806451,36,67,4.666289613024795,2.6728865564531628,1.7457866297239402,6.278666653732127,5.922548340504089,-3.318525221719129,-3.319224021366716,0.9444444444444444,0.8955223880597015,2026-08-31T17:19:12.116645+00:00,1806733
concrete,gp,gap,6,3,927,617,310,302,0.0,33,70,3.963757488348004,2.574092478437943,1.5398659999788984,6.937746029010669,5.850908012958405,-3.3661183002133366,-3.210081536508546,0.8787878787878788,0.9,2026-08-31T17:19:15.343968+00:00,1806733
concrete,gp,gap,7,3,927,620,307,14,0.1193548387096774,36,67,3.7389354914146953,2.604876200419582,1.4353601490974677,7.270140220285465,5.3993665047188335,-3.438473895417306,-3.0675390966796434,0.8055555555555556,0.9402985074626866,2026-08-31T17:19:14.793103+00:00,1806733
concrete,gp,control,0,3,927,621,306,278,0.0048387096774193,36,67,2.46111866830479,2.9506857288784345,0.8340836315496972,5.31929894508709,6.277377952467335,-3.011945656813691,-3.324285729716569,0.9166666666666666,0.8805970149253731,2026-08-31T17:19:17.330020+00:00,1806733
concrete,gp,control,1,3,927,621,306,185,0.5097087378640777,34,69,2.604098387517898,2.866041604611869,0.9086045308370724,5.212655294566415,6.295782212840254,-3.071414650795252,-3.285928832018325,0.8823529411764706,0.8985507246376812,2026-08-31T17:19:17.405244+00:00,1806733
