experiment_id,dataset,method,activation,seed,n_parameters,mean_std_epi_in_range,mean_std_epi_extrapolation,epi_extrap_ratio,std_epi_at_edge,mpiw95_in_range,mpiw95_extrapolation,picp95_in_range,picp95_extrapolation,rmse_in_range,ll_in_range,timestamp,git_commit
e6d,sin_gap,laplace,relu,2,152,0.1378593523512827,0.18592227780071716,1.3486373947772814,0.1816559190908975,0.7809917894310183,0.8719187587345587,0.98,0.8175,0.11220180759612612,0.5837627245069038,2026-08-31T19:50:10.132407+00:00,1806733
e6d,sin_gap,laplace,tanh,0,152,0.041798297951336966,0.2990102419411345,7.153646358740556,0.5059487367691975,0.44295231041182537,1.2752778892575047,0.9483333333333334,0.95,0.10927320327488661,0.7898688349593727,2026-08-31T19:50:18.045818+00:00,1806733
e6d,sin_gap,laplace,tanh,1,152,0.03972936356630382,0.3430727284431338,8.635243498692954,0.5161456203171064,0.43396393355600577,1.4424281175370595,0.9566666666666667,0.9575,0.10296775477281135,0.8299918908303089,2026-08-31T19:50:18.719054+00:00,1806733
e6d,sin_gap,laplace,tanh,2,152,0.04152530774309902,0.31799616915197554,7.657888320040747,0.459323742500568,0.5036960455367538,1.3817533814754048,0.9783333333333334,0.9725,0.10724837268882843,0.7727876069118994,2026-08-31T19:50:19.353884+00:00,1806733
e6d,sin_gap,ensemble,relu,0,760,0.016470004415843266,0.08922644124051288,5.417511676844591,0.14157938213641674,0.3815433509857082,0.5333754895989629,0.915,0.545,0.10900862997564867,0.7816456506265608,2026-08-31T19:50:58.330195+00:00,1806733
e6d,sin_gap,ensemble,relu,1,760,0.016844880439127956,0.06932035492933562,4.115217984469368,0.16751932194034788,0.3810837355873739,0.4788657061886109,0.935,0.5675,0.10527630988433687,0.8248837769762443,2026-08-31T19:50:57.907595+00:00,1806733
e6d,sin_gap,ensemble,relu,2,760,0.014573007626566289,0.05111171377051198,3.5072865588388487,0.05545153259298983,0.4200923071449585,0.47433965586505833,0.9466666666666667,0.545,0.1076513873655268,0.8112759844589158,2026-08-31T19:50:58.793678+00:00,1806733
e6d,sin_gap,ensemble,tanh,0,760,0.028859431580987263,0.038852211249484875,1.346256981550562,0.04001495133882747,0.41736940576568965,0.4317071202778895,0.9333333333333333,0.5875,0.1120485466087622,0.7617492254848373,2026-08-31T19:51:00.320647+00:00,1806733
e6d,sin_gap,ensemble,tanh,1,760,0.03805162697137661,0.048499103322255994,1.2745605689538122,0.05104864624473399,0.4263847768488486,0.4404353995081727,0.965,0.6125,0.10163166027303797,0.8610593939051989,2026-08-31T19:51:00.459241+00:00,1806733
e6d,sin_gap,ensemble,tanh,2,760,0.04018802569837633,0.0454058432131748,1.1298351293482247,0.05440152241478402,0.474991458282596,0.48245798732533374,0.9766666666666667,0.55,0.10156281781424219,0.8397375390168118,2026-08-31T19:51:01.561830+00:00,1806733
