method,depth,dataset,seed,n_parameters,train_time_s,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,max_abs_delta_var_epi,max_abs_delta_var_epi_at_x,timestamp,git_commit,posterior_precision_lambda_min,posterior_precision_lambda_max,posterior_precision_cond,rmse_in_gap,ll_in_gap,picp95_in_gap,mpiw95_in_gap,median_std_epi_in_gap,gap_ratio
ensemble,2,sin_homo,0,13505,39.05738310000743,0.1032059363928226,0.8502612012100705,0.9433333333333334,0.3990623821398517,0.013628586786203191,0.5641868616864539,-11.902718437029087,0.1475,0.42281466556716174,0.03655797341089241,0.044058727503512876,3.232817033393032,0.07521322342175125,5.518783759581944,4.630634184811045e-05,7.53953953953954,2026-08-31T20:36:08.819453+00:00,1806733,,,,,,,,,
map,1,sin_homo,1,151,5.667967599991243,0.10297335111727883,0.8534710077732535,0.9416666666666667,0.39199279690801087,0.0,0.20060119506892612,-0.6283954133646938,0.7,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:36:14.538375+00:00,1806733,,,,,,,,,
map,2,sin_homo,1,2701,7.738223099993775,0.09997069226512675,0.8839395941909393,0.95,0.39199279690801087,0.0,0.5918827993218418,-16.132615846863605,0.18,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:36:22.330128+00:00,1806733,,,,,,,,,
gp,0,sin_homo,1,3,0.6974745999905281,0.09914033426689187,0.8919074215294693,0.9466666666666667,0.3799578685956041,0.013289207757789901,0.11698381452291934,0.32736830235204406,0.9975,1.0671027642480424,0.21581199904629633,0.5682343282001807,42.75908229872407,0.5682343282001874,42.75908229872457,0.004438880958210156,-2.0,2026-08-31T20:36:23.084464+00:00,1806733,,,,,,,,,
bbb,1,sin_homo,1,302,121.42979490000289,0.11413592511609916,0.7366216225594865,0.9683333333333334,0.5275758366747975,0.08551465547006903,0.6163712101077118,-7.241694617161284,0.23,0.5678546228842581,0.10517953067216737,0.10128611993710146,1.18442995975763,0.12299349041577601,1.4382738226528309,5.342498682376837e-05,3.315315315315315,2026-08-31T20:38:24.633045+00:00,1806733,,,,,,,,,
bbb,2,sin_homo,1,5402,221.35360510001192,0.10647683922381418,0.7765864894781861,0.98,0.5240305960854629,0.08921118311465624,0.8894803393469125,-19.234873363324905,0.11,0.5445478956816988,0.09464810844275776,0.10763764212677843,1.2065487573283282,0.09604874985164936,1.0766447265720636,0.00019123553800747158,5.257257257257257,2026-08-31T20:42:06.249718+00:00,1806733,,,,,,,,,
mcd,1,sin_homo,1,151,7.656911800004309,0.1373180015272753,0.5923195635235492,0.96,0.5704790101927222,0.1137259873292921,0.8553262915960997,-11.483890987528467,0.1275,0.6773436789278882,0.13967530722575633,0.1481654792777392,1.302828691640443,0.15690196348563257,1.3796491652459786,0.011962872153880425,7.95995995995996,2026-08-31T20:42:14.135163+00:00,1806733,,,,,,,,,
mcd,2,sin_homo,1,2701,10.030758299981244,0.10932115589905014,0.7685885473181558,0.9766666666666667,0.5077814219555723,0.08217825921476168,0.9659967371718882,-22.441687618561435,0.07,0.5512991335398907,0.09843546684714755,0.11019684433068724,1.340948876061037,0.09183710797902149,1.117535329374862,0.0057460082271038986,-1.7997997997997999,2026-08-31T20:42:24.504665+00:00,1806733,,,,,,,,,
laplace,1,sin_homo,1,151,6.179940100002568,0.10297335111727883,0.8541377821748104,0.9466666666666667,0.3984897626364729,0.01685223575967984,0.20060119506892612,-0.07784640415021066,0.9825,1.6574966051065838,0.3630432221277901,0.9587275593708161,56.89022946525821,0.8505449477750621,50.4707482083802,0.010379769575471043,7.98998998998999,2026-08-31T20:42:31.122022+00:00,1806733,0.9888245174159663,1197998.0538899722,1211537.5709136198,,,,,,
laplace,2,sin_homo,1,2701,16.088771899987478,0.09997069226512675,0.8837060802880853,0.9583333333333334,0.4009933229877715,0.019829141792702717,0.5918827993218418,-0.9075776473413744,0.8325,1.7814636378129356,0.4007842634671044,0.9862297305377238,49.73637996278105,0.4546681724121404,22.92929150264395,0.006404296330424053,-1.2692692692692693,2026-08-31T20:42:51.398376+00:00,1806733,0.9974678937225945,289005.448770701,289739.0989619925,,,,,,
ensemble,1,sin_homo,1,755,30.689137999986997,0.10045245224769492,0.8784944668285192,0.9566666666666667,0.40034346167966195,0.01956583985851336,0.20054811402785477,-0.33315700967288187,0.6825,0.43201334451893003,0.03679487398335041,0.09283371264395136,4.744683249748575,0.07151778568971942,3.655237199470437,8.330242649685383e-05,-2.0,2026-08-31T20:43:23.200635+00:00,1806733,,,,,,,,,
ensemble,2,sin_homo,1,13505,43.074792100000195,0.099843819090097,0.8855651660058559,0.96,0.4011264457282451,0.021338572065153126,0.552223364772983,-8.663341489724628,0.195,0.4557291205348216,0.04436719655170883,0.05148715211288083,2.412867738088329,0.11247400049698741,5.270924415821743,8.028042696025389e-05,7.059059059059059,2026-08-31T20:44:06.335985+00:00,1806733,,,,,,,,,
map,1,sin_homo,2,151,6.188338300009491,0.10225355321072775,0.8608571025784164,0.94,0.39199279690801087,0.0,0.2847953473404376,-2.6717729335486506,0.515,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:44:12.577063+00:00,1806733,,,,,,,,,
map,2,sin_homo,2,2701,8.66854029998649,0.1005904977873021,0.8777241475345113,0.9433333333333334,0.39199279690801087,0.0,0.5157242804812306,-11.914930114104777,0.275,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:44:21.299808+00:00,1806733,,,,,,,,,
gp,0,sin_homo,2,3,0.6636957000009716,0.0987376300622768,0.8897485926703337,0.9566666666666667,0.42193429645730646,0.014325080173431235,0.26746493648832137,0.11817516388844426,0.9825,1.1056029931392153,0.21796458390689832,0.5887231843348492,41.09737447939423,0.5887231843348526,41.097374479394475,0.005099021395147008,-2.0,2026-08-31T20:44:22.017899+00:00,1806733,,,,,,,,,
bbb,1,sin_homo,2,302,138.45117709998158,0.11060423671177957,0.7367392920196367,0.99,0.5607710687330894,0.0986456443054086,0.593086646724098,-6.055727908351223,0.2325,0.6014167000979441,0.11638935219183769,0.10566145563355518,1.0711213493261345,0.13217177857548737,1.3398643143967033,4.358774036915605e-05,3.255255255255255,2026-08-31T20:46:40.591245+00:00,1806733,,,,,,,,,
bbb,2,sin_homo,2,5402,220.1356681000034,0.10250034232944923,0.7763416994615665,0.9883333333333333,0.5521050706595461,0.0972771630692795,0.8951589765883146,-18.633411033768507,0.09,0.555914414242554,0.09952119762088948,0.10923667143345,1.1229426104424232,0.10145971997115068,1.0429962878223784,0.00026525816610255097,0.3523523523523524,2026-08-31T20:50:20.952540+00:00,1806733,,,,,,,,,
mcd,1,sin_homo,2,151,6.235304700006964,0.15552686525511034,0.4677044445006472,0.9216666666666666,0.5648198399969726,0.10958738731154799,0.7562174905781048,-8.68602981883222,0.305,0.6746966729918492,0.1386566831237812,0.12682910742293252,1.1573330702954687,0.13437345288288374,1.226176261515123,0.013851053023011452,7.80980980980981,2026-08-31T20:50:27.370274+00:00,1806733,,,,,,,,,
mcd,2,sin_homo,2,2701,8.886885500018252,0.1125021788832227,0.745419759931863,0.9766666666666667,0.5133786466188429,0.0844373973476642,0.8849853667072134,-18.64149999695214,0.105,0.54874628476928,0.09764740633009143,0.09200066699908725,1.0895725103923075,0.11171792819798364,1.323085880276414,0.005845273368048328,-1.7297297297297298,2026-08-31T20:50:36.661768+00:00,1806733,,,,,,,,,
