dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit,on_grid
concrete,map,0,500,0.4631866858722892,-0.4631866858722892,0.2803093685384629,0.0304546199085158,0.0,742,185,927,128,6,3000,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,1000,0.8644251734441221,-0.8644251734441221,0.2898749605357454,0.0229148631475042,0.0,742,185,927,128,6,6000,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,0,2000,1.2293603634538088,-1.2293603634538088,0.2999762647089676,0.0198101626318357,0.0,742,185,927,128,6,12000,,False,2000,11.723216100013817,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,5,0.9777302360939668,-0.9777302360939668,0.5410188634480372,0.7685303591120114,0.0,742,185,927,128,6,30,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,10,0.7927467865183727,-0.7927467865183727,0.4296422402672684,0.5581684267307034,0.0,742,185,927,128,6,60,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,20,0.5522703227512965,-0.5522703227512965,0.3639439067171077,0.315736019773889,0.0,742,185,927,128,6,120,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,50,0.3742485784100213,-0.3742485784100213,0.3515687156601302,0.1174608496422524,0.0,742,185,927,128,6,300,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,100,0.294537703816789,-0.294537703816789,0.3138393481647579,0.0694284194285927,0.0,742,185,927,128,6,600,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,200,0.5912603838707037,-0.5912603838707037,0.3372630331543045,0.0476021600650289,0.0,742,185,927,128,6,1200,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,500,0.99269476626688,-0.99269476626688,0.351283030317267,0.0353617883916924,0.0,742,185,927,128,6,3000,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,1,1000,1.1676471743980117,-1.1676471743980117,0.3394830014010279,0.0283932195361434,0.0,742,185,927,128,6,6000,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
