dataset,method,group,epi_gap_ratio_mean,epi_gap_ratio_sem,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,n_fits
energy,ensemble,real_gap,11.179799967092446,0.5830405481206978,16.24452917730985,0.3408353487864337,-48.92894343877295,-0.3722082316389071,0.00217391304347826,0.9722082131720489,20
energy,gp,control,0.9240506765424275,0.0258609033486844,0.5150301115132223,0.49537879684406533,-0.7981169581362345,-0.722564938982927,0.903018456279671,0.9273094721391362,40
energy,gp,duplicate_axis,32.74868000224812,1.203426845276561,20.044110168922856,0.37036575580278225,-11.736187031409461,-0.4443105108525199,0.2268540510286341,0.9421972292317455,20
energy,gp,negative_control,1.6383225443135576,0.11517746389953276,1.3455674506452342,0.5115129209891518,-5.788389108936283,-0.7638214813325576,0.8157999079711434,0.932025059165541,120
energy,gp,real_gap,32.74868000224812,1.203426845276561,20.044110168922856,0.37036575580278225,-11.736187031409461,-0.4443105108525199,0.2268540510286341,0.9421972292317455,20
energy,laplace,control,0.9484156339921274,0.02564749869799726,0.5577436291349465,0.5562172009083779,-0.8636683103541563,-0.8351268692720307,0.9061076455268635,0.9186795703064611,40
energy,laplace,duplicate_axis,31.58525351169696,1.206814765737542,15.960383813144967,0.3989369525504555,-6.852840236892547,-0.5078965127796556,0.43166192069367726,0.9399032752425043,20
energy,laplace,negative_control,2.356309998490526,0.24182625972328775,1.2604296068491598,0.5590467484661292,-1.5498576250552945,-0.8546015819596057,0.8562019418481003,0.9232259628058481,120
energy,laplace,real_gap,31.58525351169696,1.206814765737542,15.960383813144967,0.3989369525504555,-6.852840236892547,-0.5078965127796556,0.43166192069367726,0.9399032752425043,20
energy,map,control,,,0.5577436291349465,0.5562172009083779,-0.9810366528135657,-0.9558194350601786,0.8560080541588867,0.8689305200412332,40
energy,map,duplicate_axis,,,15.960383813144967,0.3989369525504555,-1292.8744709063453,-0.5820765876271978,0.0,0.8839742143263104,20
energy,map,negative_control,,,1.2604296068491598,0.5590467484661292,-12.348212941702924,-0.9955266059045947,0.7436182376528107,0.8729289611278067,120
energy,map,real_gap,,,15.960383813144967,0.3989369525504555,-1292.8744709063453,-0.5820765876271978,0.0,0.8839742143263104,20
energy,mcd,control,0.9893740459745413,0.007677142665240555,1.284513459024783,1.2748623057972506,-1.8417836147667987,-1.8344707222415457,0.9929661570313744,0.9956795674640908,40
energy,mcd,duplicate_axis,1.0483740705423092,0.007977090859768134,9.059969003376555,0.8306565417748775,-22.70917890390742,-1.4211737844735393,0.06276791840186302,0.9846201896065911,20
energy,mcd,negative_control,0.9892912645731898,0.004528031945940725,1.9858900615319222,1.2324567278919814,-2.7080036091765276,-1.7878266504074767,0.8952421343285032,0.9876983765208024,120
energy,mcd,real_gap,1.0483740705423092,0.007977090859768134,9.059969003376555,0.8306565417748775,-22.70917890390742,-1.4211737844735393,0.06276791840186302,0.9846201896065911,20
sin_gap,bbb,real_gap,1.2744456758349572,0.06125933281125478,0.23848738378595535,0.11527412621721238,-0.10054268494658092,0.4551008352369417,0.9316666666666666,0.9991666666666666,3
sin_gap,ensemble,real_gap,1.7548784155345478,0.3436571361531201,0.10915374871164163,0.10280027638126522,0.7705179479074915,0.8460141052496782,0.9533333333333333,0.9608333333333333,3
sin_gap,gp,real_gap,2.454992389769613,0.1945004206362688,0.10790425815107156,0.10078113432334267,0.7969398664401485,0.8731307500134564,0.9433333333333334,0.9508333333333333,3
sin_gap,laplace,real_gap,5.122905843939635,0.30825354372190444,0.10711326162171098,0.10595202811665,0.7447172486766259,0.8239655420124775,0.9766666666666666,0.9533333333333333,3
sin_gap,map,real_gap,,,0.10711326162171098,0.10595202811665,0.7958342516654099,0.8234315919038045,0.9333333333333332,0.9525,3
sin_gap,mcd,real_gap,0.663499143467127,0.00608876858348258,0.2380930967531676,0.15634371183573648,-0.014927551475326298,0.27295343447114995,0.9633333333333334,0.9966666666666667,3
