dataset,dropout_p,seed,x,std_epi
sin_homo,0.05,0,-1.2792792792792793,0.12480590997931634
sin_homo,0.05,0,-1.2692692692692693,0.11520004456232492
sin_homo,0.05,0,-1.2592592592592593,0.12477909673734568
sin_homo,0.05,0,-1.2492492492492493,0.14481222762395174
sin_homo,0.05,0,-1.2392392392392393,0.13511297861909038
sin_homo,0.05,0,-1.2292292292292293,0.10936773743468933
sin_homo,0.05,0,-1.2192192192192193,0.1596650300777109
sin_homo,0.05,0,-1.2092092092092093,0.14593677133646016
sin_homo,0.05,0,-1.1991991991991993,0.13163107193343163
sin_homo,0.05,0,-1.189189189189189,0.13456978517176793
sin_homo,0.05,0,-1.179179179179179,0.1217761809773318
sin_homo,0.05,0,-1.169169169169169,0.13101378060597654
sin_homo,0.05,0,-1.159159159159159,0.13097174595761638
sin_homo,0.05,0,-1.149149149149149,0.13377144727784634
sin_homo,0.05,0,-1.139139139139139,0.12405368791780202
sin_homo,0.05,0,-1.129129129129129,0.12048152246899946
sin_homo,0.05,0,-1.119119119119119,0.1297144480179611
sin_homo,0.05,0,-1.109109109109109,0.1470938965273533
sin_homo,0.05,0,-1.099099099099099,0.14124347015931718
sin_homo,0.05,0,-1.089089089089089,0.12768425020851445
sin_homo,0.05,0,-1.079079079079079,0.13895628989006184
sin_homo,0.05,0,-1.069069069069069,0.13681241618771436
sin_homo,0.05,0,-1.059059059059059,0.13113492296426324
sin_homo,0.05,0,-1.049049049049049,0.1389404319091368
sin_homo,0.05,0,-1.039039039039039,0.12358818574248592
sin_homo,0.05,0,-1.029029029029029,0.1291979870668548
sin_homo,0.05,0,-1.019019019019019,0.11534579073222663
sin_homo,0.05,0,-1.009009009009009,0.11086769844963765
sin_homo,0.05,0,-0.9989989989989989,0.1163755085026382
sin_homo,0.05,0,-0.9889889889889889,0.12112371822362218
sin_homo,0.05,0,-0.9789789789789789,0.1358099199912297
sin_homo,0.05,0,-0.9689689689689689,0.1458136733682192
sin_homo,0.05,0,-0.9589589589589589,0.13656730713409201
sin_homo,0.05,0,-0.9489489489489489,0.13356299931739166
sin_homo,0.05,0,-0.9389389389389389,0.11141121935562674
sin_homo,0.05,0,-0.9289289289289289,0.15225605260742303
sin_homo,0.05,0,-0.9189189189189189,0.12692907109111573
sin_homo,0.05,0,-0.9089089089089089,0.1248564350451061
sin_homo,0.05,0,-0.8988988988988988,0.1227498895422467
sin_homo,0.05,0,-0.8888888888888888,0.13001891976976632
sin_homo,0.05,0,-0.8788788788788788,0.11756977843620944
sin_homo,0.05,0,-0.8688688688688688,0.14037648209339623
sin_homo,0.05,0,-0.8588588588588588,0.13984541112649299
sin_homo,0.05,0,-0.8488488488488488,0.11438513275541193
sin_homo,0.05,0,-0.8388388388388388,0.12908973082933503
sin_homo,0.05,0,-0.8288288288288288,0.12294709066037897
sin_homo,0.05,0,-0.8188188188188188,0.12681699347217357
sin_homo,0.05,0,-0.8088088088088088,0.1363785075550783
sin_homo,0.05,0,-0.7987987987987988,0.13452105182958407
sin_homo,0.05,0,-0.7887887887887888,0.13066161640601162
sin_homo,0.05,0,-0.7787787787787788,0.12980934674785563
sin_homo,0.05,0,-0.7687687687687688,0.1435910406716899
sin_homo,0.05,0,-0.7587587587587588,0.1271534351645701
sin_homo,0.05,0,-0.7487487487487487,0.11695206065123613
sin_homo,0.05,0,-0.7387387387387387,0.1186965474323991
sin_homo,0.05,0,-0.7287287287287287,0.1307456611691416
sin_homo,0.05,0,-0.7187187187187187,0.12051977915893305
sin_homo,0.05,0,-0.7087087087087087,0.13094139658910256
sin_homo,0.05,0,-0.6986986986986987,0.1367810578294276
sin_homo,0.05,0,-0.6886886886886887,0.1232492513904068
sin_homo,0.05,0,-0.6786786786786787,0.13511584278808528
sin_homo,0.05,0,-0.6686686686686687,0.12075553336841684
sin_homo,0.05,0,-0.6586586586586587,0.1234303310145114
sin_homo,0.05,0,-0.6486486486486487,0.13302835005742777
sin_homo,0.05,0,-0.6386386386386387,0.13583728780634513
sin_homo,0.05,0,-0.6286286286286287,0.10525843679541248
sin_homo,0.05,0,-0.6186186186186187,0.13397280225919384
sin_homo,0.05,0,-0.6086086086086087,0.1368940472113226
sin_homo,0.05,0,-0.5985985985985987,0.11585036658450451
sin_homo,0.05,0,-0.5885885885885886,0.12160504189601791
sin_homo,0.05,0,-0.5785785785785786,0.12521225244956677
sin_homo,0.05,0,-0.5685685685685686,0.13111997374537104
sin_homo,0.05,0,-0.5585585585585586,0.13686307666720604
sin_homo,0.05,0,-0.5485485485485486,0.1420300991516298
sin_homo,0.05,0,-0.5385385385385386,0.15711963881248517
sin_homo,0.05,0,-0.5285285285285286,0.1266459333102626
sin_homo,0.05,0,-0.5185185185185186,0.1328030228411363
sin_homo,0.05,0,-0.5085085085085086,0.10987670274192753
sin_homo,0.05,0,-0.4984984984984986,0.138020458870913
sin_homo,0.05,0,-0.4884884884884886,0.12687480597742376
sin_homo,0.05,0,-0.4784784784784786,0.132476621311201
sin_homo,0.05,0,-0.46846846846846857,0.10915885690804279
sin_homo,0.05,0,-0.45845845845845856,0.125763407179201
sin_homo,0.05,0,-0.44844844844844856,0.12127402705951759
sin_homo,0.05,0,-0.43843843843843855,0.11945755820832374
sin_homo,0.05,0,-0.42842842842842854,0.12213107011076368
sin_homo,0.05,0,-0.41841841841841854,0.12527651395510342
sin_homo,0.05,0,-0.40840840840840853,0.11339047411393616
sin_homo,0.05,0,-0.3983983983983985,0.1208240002579396
sin_homo,0.05,0,-0.3883883883883883,0.11636037276170276
sin_homo,0.05,0,-0.3783783783783783,0.12598381736457695
sin_homo,0.05,0,-0.3683683683683683,0.13126807847011793
sin_homo,0.05,0,-0.3583583583583583,0.12604213554139154
sin_homo,0.05,0,-0.34834834834834827,0.13208887821538307
sin_homo,0.05,0,-0.33833833833833826,0.12268728829739467
sin_homo,0.05,0,-0.32832832832832826,0.11633764255976965
sin_homo,0.05,0,-0.31831831831831825,0.12481563512647698
sin_homo,0.05,0,-0.30830830830830824,0.135701132383094
sin_homo,0.05,0,-0.29829829829829824,0.1260800739334303
sin_homo,0.05,0,-0.28828828828828823,0.12873386978500884
sin_homo,0.05,0,-0.2782782782782782,0.13651997842987276
sin_homo,0.05,0,-0.2682682682682682,0.11792451457174351
sin_homo,0.05,0,-0.2582582582582582,0.14332872429967633
sin_homo,0.05,0,-0.2482482482482482,0.12164439030204631
sin_homo,0.05,0,-0.2382382382382382,0.11285183850412221
sin_homo,0.05,0,-0.2282282282282282,0.09664227714087681
sin_homo,0.05,0,-0.21821821821821819,0.12991758604751305
sin_homo,0.05,0,-0.20820820820820818,0.12171012323533596
sin_homo,0.05,0,-0.19819819819819817,0.13873021635039895
sin_homo,0.05,0,-0.18818818818818817,0.12485082885180182
sin_homo,0.05,0,-0.17817817817817816,0.11179558766322267
sin_homo,0.05,0,-0.16816816816816815,0.11544181868087948
sin_homo,0.05,0,-0.15815815815815815,0.12144791937555273
sin_homo,0.05,0,-0.14814814814814814,0.12314899981733518
sin_homo,0.05,0,-0.13813813813813813,0.13907653331393202
sin_homo,0.05,0,-0.12812812812812813,0.1138267388367362
sin_homo,0.05,0,-0.11811811811811812,0.13698414605247744
sin_homo,0.05,0,-0.10810810810810811,0.1544042889217171
sin_homo,0.05,0,-0.09809809809809811,0.11579871633915781
sin_homo,0.05,0,-0.0880880880880881,0.11890982864583309
sin_homo,0.05,0,-0.0780780780780781,0.1042444414951676
sin_homo,0.05,0,-0.06806806806806809,0.12804196173353558
sin_homo,0.05,0,-0.05805805805805808,0.12130284611893326
sin_homo,0.05,0,-0.048048048048048075,0.11233681472848409
sin_homo,0.05,0,-0.03803803803803807,0.1291729262466135
sin_homo,0.05,0,-0.028028028028028062,0.12865696994471212
sin_homo,0.05,0,-0.018018018018018056,0.11333155449274115
sin_homo,0.05,0,-0.00800800800800805,0.11625733536496481
sin_homo,0.05,0,0.002002002002002179,0.1363763932947203
sin_homo,0.05,0,0.012012012012012185,0.13341573471148604
sin_homo,0.05,0,0.022022022022022192,0.12075550979111066
sin_homo,0.05,0,0.0320320320320322,0.12290708475050328
sin_homo,0.05,0,0.042042042042042205,0.1069185461568674
sin_homo,0.05,0,0.05205205205205221,0.13374873328258316
sin_homo,0.05,0,0.06206206206206222,0.10886645917142901
sin_homo,0.05,0,0.07207207207207222,0.1409908921268135
sin_homo,0.05,0,0.08208208208208223,0.13179153638610033
sin_homo,0.05,0,0.09209209209209224,0.11673475004214558
sin_homo,0.05,0,0.10210210210210224,0.11395168449218539
sin_homo,0.05,0,0.11211211211211225,0.11761678648113803
sin_homo,0.05,0,0.12212212212212226,0.1209445155471294
sin_homo,0.05,0,0.13213213213213226,0.12740237800094653
sin_homo,0.05,0,0.14214214214214227,0.12596895234261668
sin_homo,0.05,0,0.15215215215215228,0.09788666883785567
sin_homo,0.05,0,0.16216216216216228,0.12450302069439084
sin_homo,0.05,0,0.1721721721721723,0.12415018279886157
sin_homo,0.05,0,0.1821821821821823,0.12463085574886856
sin_homo,0.05,0,0.1921921921921923,0.13043182236563272
sin_homo,0.05,0,0.2022022022022023,0.11781215213909552
sin_homo,0.05,0,0.21221221221221231,0.12437297351438444
sin_homo,0.05,0,0.22222222222222232,0.11952294718509887
sin_homo,0.05,0,0.23223223223223233,0.11734972191338924
sin_homo,0.05,0,0.24224224224224233,0.10635609440897889
sin_homo,0.05,0,0.25225225225225234,0.10812121600029716
sin_homo,0.05,0,0.26226226226226235,0.11911337927402842
sin_homo,0.05,0,0.27227227227227235,0.13679794453009436
sin_homo,0.05,0,0.28228228228228236,0.1141759108566405
sin_homo,0.05,0,0.29229229229229237,0.10901684016458489
sin_homo,0.05,0,0.3023023023023024,0.12077460205341546
sin_homo,0.05,0,0.3123123123123124,0.11901901321202192
sin_homo,0.05,0,0.3223223223223224,0.1220259548344316
sin_homo,0.05,0,0.3323323323323324,0.11913002079740195
sin_homo,0.05,0,0.3423423423423424,0.1251190187733296
sin_homo,0.05,0,0.3523523523523524,0.11394981585846428
sin_homo,0.05,0,0.3623623623623624,0.13074813852659228
sin_homo,0.05,0,0.3723723723723724,0.11782298953799597
sin_homo,0.05,0,0.3823823823823824,0.11251382227654617
sin_homo,0.05,0,0.39239239239239243,0.12715977464884973
sin_homo,0.05,0,0.40240240240240244,0.12611112895341461
sin_homo,0.05,0,0.41241241241241244,0.1318514648357344
sin_homo,0.05,0,0.42242242242242245,0.10652838308123694
sin_homo,0.05,0,0.43243243243243246,0.10207910620919677
sin_homo,0.05,0,0.44244244244244246,0.11034051503323462
sin_homo,0.05,0,0.45245245245245247,0.11460454418532377
sin_homo,0.05,0,0.4624624624624625,0.13877077587946668
